routine,payload_bytes,rt_us,server_us
cudaRegisterFatBinary,65191,16321,0
cudaRegisterFunction,171,8057,0
cudaRegisterVar,129,89,0
cudaRegisterVar,122,56,0
cudaRegisterVar,114,56,0
cudaRegisterVar,2168,54,0
cudaRegisterVar,6262,59,0
cudaRegisterVar,14452,100,0
cudaRegisterVar,15480,98,0
cudaRegisterVar,17524,98,0
cudaRegisterVar,17548,96,0
cudaRegisterVar,120,70,0
cudaRegisterVar,124,51,0
cudaRegisterFatBinaryEnd,65191,183,0
cudaRegisterFatBinary,61391,170,0
cudaRegisterFunction,185,59,0
cudaRegisterVar,181,55,0
cudaRegisterVar,122,54,0
cudaRegisterVar,114,53,0
cudaRegisterVar,2168,54,0
cudaRegisterVar,6262,55,0
cudaRegisterVar,14452,92,0
cudaRegisterVar,15480,98,0
cudaRegisterVar,17524,59,0
cudaRegisterVar,17548,65,0
cudaRegisterVar,120,55,0
cudaRegisterVar,124,53,0
cudaRegisterFatBinaryEnd,61391,76,0
cudaRegisterFatBinary,100015,392,0
cudaRegisterFunction,215,62,0
cudaRegisterFunction,231,60,0
cudaRegisterFunction,199,54,0
cudaRegisterFunction,227,56,0
cudaRegisterFunction,253,53,0
cudaRegisterFunction,237,53,0
cudaRegisterFunction,221,58,0
cudaRegisterFunction,249,60,0
cudaRegisterVar,128,56,0
cudaRegisterVar,122,94,0
cudaRegisterVar,114,65,0
cudaRegisterVar,2168,66,0
cudaRegisterVar,6262,63,0
cudaRegisterVar,14452,120,0
cudaRegisterVar,15480,78,0
cudaRegisterVar,17524,68,0
cudaRegisterVar,17548,76,0
cudaRegisterVar,120,51,0
cudaRegisterVar,124,70,0
cudaRegisterFatBinaryEnd,100015,188,0
cudaRegisterFatBinary,60119,165,0
cudaRegisterFunction,155,62,0
cudaRegisterVar,128,67,0
cudaRegisterVar,122,59,0
cudaRegisterVar,114,72,0
cudaRegisterVar,2168,63,0
cudaRegisterVar,6262,56,0
cudaRegisterVar,14452,71,0
cudaRegisterVar,15480,63,0
cudaRegisterVar,17524,79,0
cudaRegisterVar,17548,88,0
cudaRegisterVar,120,56,0
cudaRegisterVar,124,61,0
cudaRegisterFatBinaryEnd,60119,92,0
cudaRegisterFatBinary,64783,200,0
cudaRegisterFunction,157,83,0
cudaRegisterVar,177,62,0
cudaRegisterVar,122,55,0
cudaRegisterVar,114,53,0
cudaRegisterVar,2168,66,0
cudaRegisterVar,6262,68,0
cudaRegisterVar,14452,68,0
cudaRegisterVar,15480,73,0
cudaRegisterVar,17524,67,0
cudaRegisterVar,17548,68,0
cudaRegisterVar,120,65,0
cudaRegisterVar,124,54,0
cudaRegisterFatBinaryEnd,64783,86,0
cudaRegisterFatBinary,3170135,10163,4000
cudaRegisterFunction,509,88,0
cudaRegisterFunction,423,65,0
cudaRegisterFunction,509,63,0
cudaRegisterFunction,969,59,0
cudaRegisterFunction,489,64,0
cudaRegisterFunction,489,66,0
cudaRegisterFunction,497,68,0
cudaRegisterFunction,443,63,0
cudaRegisterFunction,529,66,0
cudaRegisterFunction,529,63,0
cudaRegisterFunction,497,63,0
cudaRegisterFunction,497,65,0
