timestamp,utilization.gpu,memory.used,memory.total,power.draw
2026-03-26T14:58:09,0,577,46068,40.45
2026-03-26T14:58:10,0,577,46068,80.61
2026-03-26T14:58:11,0,577,46068,79.50
2026-03-26T14:58:12,0,577,46068,79.58
2026-03-26T14:58:13,1,579,46068,80.41
2026-03-26T14:58:14,0,579,46068,80.47
2026-03-26T14:58:15,0,583,46068,81.29
2026-03-26T14:58:16,5,587,46068,80.52
2026-03-26T14:58:17,0,599,46068,83.43
2026-03-26T14:58:18,40,599,46068,81.54
2026-03-26T14:58:19,8,599,46068,81.15
2026-03-26T14:58:20,1,619,46068,83.57
2026-03-26T14:58:21,0,599,46068,81.17
2026-03-26T14:58:22,0,599,46068,81.24
2026-03-26T14:58:23,0,603,46068,81.62
2026-03-26T14:58:24,0,603,46068,80.65
2026-03-26T14:58:25,0,603,46068,80.65
2026-03-26T14:58:26,0,603,46068,81.68
2026-03-26T14:58:27,0,603,46068,80.69
2026-03-26T14:58:28,2,631,46068,86.45
2026-03-26T14:58:29,59,613,46068,85.65
2026-03-26T14:58:30,40,623,46068,88.70
2026-03-26T14:58:31,71,675,46068,84.63
2026-03-26T14:58:32,1,623,46068,85.37
2026-03-26T14:58:33,0,623,46068,80.85
2026-03-26T14:58:34,0,637,46068,80.36
2026-03-26T14:58:35,4,633,46068,87.99
2026-03-26T14:58:36,11,627,46068,88.06
2026-03-26T14:58:37,0,629,46068,87.31
2026-03-26T14:58:38,0,623,46068,82.13
