system,N,lam,rep,goodput,ttft_p95,pct_1s,timeouts,worst_tenant_1s,tenants_con_demanda,goodput_bruto,estable
bm,2,0.25,1,29.9,540.0,100.0,0,100.0,2,34.1,STABLE
bm,2,0.25,2,21.3,32.0,100.0,0,100.0,2,25.6,STABLE
bm,2,0.25,3,42.7,239.0,100.0,0,100.0,2,46.9,STABLE
bm,2,0.5,1,51.2,890.0,100.0,0,100.0,2,59.7,STABLE
bm,2,0.5,2,29.9,38.0,100.0,0,100.0,2,38.4,STABLE
bm,2,0.5,3,59.7,1457.0,92.9,0,87.5,2,64.0,STABLE
bm,2,0.75,1,81.1,1532.0,94.7,0,91.66666666666667,2,85.3,STABLE
bm,2,0.75,2,51.2,970.0,100.0,0,100.0,2,55.5,STABLE
bm,2,0.75,3,81.1,1649.0,89.5,0,88.88888888888889,2,89.6,STABLE
bm,2,1.0,1,106.7,2213.0,80.0,0,64.28571428571429,2,128.0,STABLE
bm,2,1.0,2,59.7,1925.0,92.9,0,83.33333333333333,2,64.0,STABLE
bm,2,1.0,3,119.5,3552.0,42.9,0,27.77777777777778,2,149.3,STABLE
bm,2,1.5,1,128.0,12525.0,3.3,0,0.0,2,221.9,UNSTABLE
bm,2,1.5,2,110.9,3779.0,65.4,0,45.45454545454545,2,140.8,STABLE
bm,2,1.5,3,128.0,13805.0,0.0,0,0.0,2,217.6,UNSTABLE
bm,2,2.0,1,128.0,17053.0,0.0,15,0.0,2,234.7,UNSTABLE
bm,2,2.0,2,132.3,9111.0,38.7,0,18.181818181818183,2,204.8,UNSTABLE
bm,2,2.0,3,128.0,19126.0,0.0,12,0.0,2,234.7,UNSTABLE
bm,4,0.25,1,29.9,36.0,100.0,0,100.0,4,34.1,STABLE
bm,4,0.25,2,21.3,32.0,100.0,0,100.0,4,25.6,STABLE
bm,4,0.25,3,42.7,241.0,100.0,0,100.0,4,46.9,STABLE
bm,4,0.5,1,51.2,889.0,100.0,0,100.0,4,59.7,STABLE
bm,4,0.5,2,29.9,38.0,100.0,0,100.0,4,38.4,STABLE
bm,4,0.5,3,59.7,1465.0,92.9,0,83.33333333333333,4,64.0,STABLE
bm,4,0.75,1,81.1,1530.0,94.7,0,80.0,4,85.3,STABLE
bm,4,0.75,2,51.2,970.0,100.0,0,100.0,4,55.5,STABLE
bm,4,0.75,3,81.1,1658.0,89.5,0,83.33333333333333,4,89.6,STABLE
bm,4,1.0,1,102.4,1034.0,87.5,0,62.5,4,128.0,STABLE
bm,4,1.0,2,59.7,1929.0,92.9,0,80.0,4,64.0,STABLE
bm,4,1.0,3,123.7,3982.0,58.6,0,27.272727272727273,4,153.6,STABLE
bm,4,1.5,1,119.5,9623.0,14.3,0,0.0,4,221.9,UNSTABLE
bm,4,1.5,2,106.7,3666.0,72.0,0,38.46153846153846,4,140.8,STABLE
bm,4,1.5,3,119.5,16941.0,21.4,2,0.0,4,213.3,UNSTABLE
bm,4,2.0,1,123.7,16782.0,6.9,17,0.0,4,226.1,UNSTABLE
bm,4,2.0,2,123.7,7646.0,48.3,0,20.0,4,209.1,UNSTABLE
bm,4,2.0,3,123.7,22243.0,3.4,16,0.0,4,230.4,UNSTABLE
bm,8,0.25,1,29.9,36.0,100.0,0,100.0,5,34.1,STABLE
bm,8,0.25,2,21.3,40.0,100.0,0,100.0,6,25.6,STABLE
bm,8,0.25,3,42.7,36.0,100.0,0,100.0,7,46.9,STABLE
bm,8,0.5,1,55.5,890.0,100.0,0,100.0,7,59.7,STABLE
bm,8,0.5,2,29.9,39.0,100.0,0,100.0,7,38.4,STABLE
