system,N,lam,rep,goodput,ttft_p95,pct_1s,timeouts,worst_tenant_1s,tenants_con_demanda,goodput_bruto,estable
bm,2,0.5,1,57.6,890.0,97.2,0,95.23809523809524,2,60.8,STABLE
bm,2,0.5,2,35.2,534.0,100.0,0,100.0,2,36.8,STABLE
bm,2,0.5,3,62.4,973.0,97.4,0,95.0,2,64.0,STABLE
bm,2,0.75,1,89.4,1149.0,94.6,0,94.73684210526316,2,94.2,STABLE
bm,2,0.75,2,53.1,972.0,95.5,0,93.75,2,55.5,STABLE
bm,2,0.75,3,94.2,4269.0,66.7,0,52.63157894736842,2,96.6,STABLE
bm,2,1.0,1,112.0,3132.0,62.9,0,52.63157894736842,2,128.0,STABLE
bm,2,1.0,2,73.6,1353.0,82.6,0,83.33333333333333,2,80.0,STABLE
bm,2,1.0,3,121.6,6850.0,36.8,0,30.434782608695652,2,137.6,STABLE
bm,2,1.5,1,128.0,12394.0,3.3,0,0.0,2,221.9,UNSTABLE
bm,2,1.5,2,110.9,3826.0,65.4,0,45.45454545454545,2,140.8,STABLE
bm,2,1.5,3,128.0,13636.0,0.0,0,0.0,2,217.6,UNSTABLE
bm,4,0.5,1,57.6,889.0,97.2,0,90.0,4,60.8,STABLE
bm,4,0.5,2,35.2,535.0,100.0,0,100.0,4,36.8,STABLE
bm,4,0.5,3,62.4,874.0,97.4,0,90.9090909090909,4,64.0,STABLE
bm,4,0.75,1,89.4,906.0,97.3,0,90.0,4,94.2,STABLE
bm,4,0.75,2,53.1,972.0,95.5,0,88.88888888888889,4,55.5,STABLE
bm,4,0.75,3,94.2,4293.0,71.8,0,42.857142857142854,4,96.6,STABLE
bm,4,1.0,1,108.8,2773.0,76.5,0,60.0,4,128.0,STABLE
bm,4,1.0,2,73.6,1466.0,82.6,0,72.72727272727273,4,80.0,STABLE
bm,4,1.0,3,121.6,7099.0,55.3,0,30.76923076923077,4,140.8,STABLE
bm,4,1.5,1,119.5,9615.0,14.3,0,0.0,4,221.9,UNSTABLE
bm,4,1.5,2,106.7,3664.0,72.0,0,38.46153846153846,4,140.8,STABLE
bm,4,1.5,3,119.5,16954.0,21.4,2,0.0,4,213.3,UNSTABLE
bm,8,0.5,1,57.6,42.0,100.0,0,100.0,8,60.8,STABLE
bm,8,0.5,2,35.2,40.0,100.0,0,100.0,7,36.8,STABLE
bm,8,0.5,3,62.4,650.0,100.0,0,100.0,8,64.0,STABLE
bm,8,0.75,1,86.9,51.0,100.0,0,100.0,8,94.2,STABLE
bm,8,0.75,2,53.1,360.0,95.5,0,75.0,6,55.5,STABLE
bm,8,0.75,3,94.2,3777.0,82.1,0,42.857142857142854,8,96.6,STABLE
bm,8,1.0,1,102.4,3322.0,90.6,0,66.66666666666667,8,128.0,STABLE
bm,8,1.0,2,70.4,1772.0,86.4,0,62.5,6,80.0,STABLE
bm,8,1.0,3,118.4,5118.0,73.0,0,42.857142857142854,8,144.0,STABLE
bm,8,1.5,1,115.2,6853.0,40.7,1,9.090909090909092,8,226.1,UNSTABLE
bm,8,1.5,2,106.7,4007.0,80.0,0,33.333333333333336,8,140.8,STABLE
bm,8,1.5,3,119.5,13546.0,35.7,3,0.0,8,217.6,UNSTABLE
bmmps,2,0.5,1,57.6,904.0,97.2,0,95.23809523809524,2,60.8,STABLE
bmmps,2,0.5,2,35.2,564.0,100.0,0,100.0,2,36.8,STABLE
bmmps,2,0.5,3,60.8,904.0,97.4,0,95.0,2,62.4,STABLE
bmmps,2,0.75,1,89.4,920.0,97.3,0,95.0,2,94.2,STABLE
bmmps,2,0.75,2,53.1,1020.0,90.9,0,85.71428571428571,2,55.5,STABLE
bmmps,2,0.75,3,91.8,2693.0,78.9,0,63.1578947368421,2,94.2,STABLE
bmmps,2,1.0,1,118.4,1333.0,89.2,0,84.21052631578948,2,128.0,STABLE
bmmps,2,1.0,2,73.6,1253.0,87.0,0,85.71428571428571,2,80.0,STABLE
bmmps,2,1.0,3,124.8,4303.0,51.3,0,52.63157894736842,2,131.2,STABLE
bmmps,2,1.5,1,149.3,7020.0,31.4,0,20.0,2,213.3,STABLE
bmmps,2,1.5,2,115.2,3043.0,66.7,0,50.0,2,140.8,STABLE
bmmps,2,1.5,3,157.9,9213.0,8.1,0,0.0,2,209.1,STABLE
bmmps,4,0.5,1,57.6,904.0,97.2,0,90.0,4,60.8,STABLE
bmmps,4,0.5,2,35.2,564.0,100.0,0,100.0,4,36.8,STABLE
bmmps,4,0.5,3,60.8,906.0,97.4,0,90.9090909090909,4,62.4,STABLE
bmmps,4,0.75,1,89.4,920.0,97.3,0,90.0,4,94.2,STABLE
bmmps,4,0.75,2,53.1,968.0,95.5,0,83.33333333333333,4,55.5,STABLE
bmmps,4,0.75,3,91.8,2235.0,81.6,0,64.28571428571429,4,94.2,STABLE
bmmps,4,1.0,1,118.4,927.0,97.3,0,90.0,4,128.0,STABLE
bmmps,4,1.0,2,73.6,1148.0,91.3,0,83.33333333333333,4,80.0,STABLE
