cell,rep,transfer,h2d_ms,h2d_GBps,device_ck_ok,host_ck_ok
assume,3,1,160.519,0.418,pass,pass
assume,3,2,9.079,7.392,pass,pass
assume,3,3,2.955,22.710,pass,pass
assume,3,4,2.945,22.784,pass,pass
assume,3,5,2.941,22.816,pass,pass
assume,3,6,2.943,22.801,pass,pass
assume,3,7,2.939,22.832,pass,pass
assume,3,8,2.941,22.818,pass,pass
assume,3,9,2.948,22.763,pass,pass
assume,3,10,2.947,22.768,pass,pass
assume,3,11,2.943,22.806,pass,pass
assume,3,12,2.941,22.819,pass,pass
assume,3,13,2.941,22.816,pass,pass
assume,3,14,2.938,22.839,pass,pass
assume,3,15,2.940,22.826,pass,pass
assume,3,16,2.935,22.861,pass,pass
flush,2,1,159.589,0.421,pass,pass
flush,2,2,8.661,7.748,pass,pass
flush,2,3,2.971,22.585,pass,pass
flush,2,4,2.950,22.751,pass,pass
flush,2,5,2.963,22.652,pass,pass
flush,2,6,2.956,22.704,pass,pass
flush,2,7,2.948,22.762,pass,pass
flush,2,8,2.952,22.731,pass,pass
flush,2,9,2.952,22.732,pass,pass
flush,2,10,2.951,22.743,pass,pass
flush,2,11,2.958,22.683,pass,pass
flush,2,12,2.951,22.738,pass,pass
flush,2,13,2.953,22.729,pass,pass
flush,2,14,2.946,22.777,pass,pass
flush,2,15,2.931,22.896,pass,pass
flush,2,16,2.953,22.723,pass,pass
fence,5,1,160.058,0.419,pass,pass
fence,5,2,9.264,7.244,pass,pass
fence,5,3,2.959,22.678,pass,pass
fence,5,4,2.938,22.838,pass,pass
fence,5,5,2.945,22.785,pass,pass
fence,5,6,2.944,22.794,pass,pass
fence,5,7,2.939,22.834,pass,pass
fence,5,8,2.943,22.805,pass,pass
fence,5,9,2.928,22.919,pass,pass
fence,5,10,2.938,22.842,pass,pass
fence,5,11,2.934,22.872,pass,pass
fence,5,12,2.939,22.837,pass,pass
fence,5,13,2.904,23.108,pass,pass
fence,5,14,2.944,22.798,pass,pass
fence,5,15,2.943,22.804,pass,pass
fence,5,16,2.942,22.810,pass,pass
assume,4,1,160.024,0.419,pass,pass
assume,4,2,8.832,7.599,pass,pass
assume,4,3,2.963,22.645,pass,pass
assume,4,4,2.958,22.691,pass,pass
assume,4,5,2.943,22.800,pass,pass
assume,4,6,2.944,22.797,pass,pass
assume,4,7,2.949,22.758,pass,pass
assume,4,8,2.948,22.761,pass,pass
assume,4,9,2.951,22.744,pass,pass
assume,4,10,2.949,22.759,pass,pass
assume,4,11,2.945,22.790,pass,pass
assume,4,12,2.939,22.835,pass,pass
assume,4,13,2.940,22.825,pass,pass
assume,4,14,2.941,22.819,pass,pass
assume,4,15,2.941,22.821,pass,pass
