tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
am_pageable_r1,4096,h2d,pageable,cached,20,0.000025698,0.1594,0.000025318,0.000027521
am_pageable_r1,4096,d2h,pageable,cached,20,0.000026620,0.1539,0.000026069,0.000033229
am_pageable_r1,8192,h2d,pageable,cached,20,0.000027361,0.2994,0.000026610,0.000028793
am_pageable_r1,8192,d2h,pageable,cached,20,0.000028562,0.2868,0.000028252,0.000029263
am_pageable_r1,16384,h2d,pageable,cached,20,0.000029754,0.5506,0.000029003,0.000031677
am_pageable_r1,16384,d2h,pageable,cached,20,0.000030205,0.5424,0.000029424,0.000033840
am_pageable_r1,32768,h2d,pageable,cached,20,0.000032008,1.0237,0.000030966,0.000033149
am_pageable_r1,32768,d2h,pageable,cached,20,0.000033580,0.9758,0.000033269,0.000034451
am_pageable_r1,65536,h2d,pageable,cached,20,0.000037916,1.7285,0.000036625,0.000039248
am_pageable_r1,65536,d2h,pageable,cached,20,0.000041191,1.5910,0.000040551,0.000047100
am_pageable_r1,131072,h2d,pageable,cached,20,0.000047891,2.7369,0.000046759,0.000049734
am_pageable_r1,131072,d2h,pageable,cached,20,0.000055733,2.3518,0.000054341,0.000059949
am_pageable_r1,262144,h2d,pageable,cached,20,0.000071797,3.6512,0.000070705,0.000073089
am_pageable_r1,262144,d2h,pageable,cached,20,0.000087259,3.0042,0.000086229,0.000089323
am_pageable_r1,524288,h2d,pageable,cached,20,0.000112768,4.6493,0.000107981,0.000116012
am_pageable_r1,524288,d2h,pageable,cached,20,0.000144165,3.6367,0.000141421,0.000166528
am_pageable_r1,1048576,h2d,pageable,cached,20,0.000198045,5.2946,0.000195771,0.000202841
am_pageable_r1,1048576,d2h,pageable,cached,20,0.000327528,3.2015,0.000324433,0.000338964
am_pageable_r1,2097152,h2d,pageable,cached,20,0.000359034,5.8411,0.000354527,0.000391322
am_pageable_r1,2097152,d2h,pageable,cached,20,0.000623267,3.3648,0.000615455,0.000638830
am_pageable_r1,4194304,h2d,pageable,cached,20,0.000538381,7.7906,0.000533072,0.000550799
am_pageable_r1,4194304,d2h,pageable,cached,20,0.000546062,7.6810,0.000539593,0.000631419
