tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
am_pinned_r2,4096,h2d,pinned,cached,20,0.000025759,0.1590,0.000025038,0.000027050
am_pinned_r2,4096,d2h,pinned,cached,20,0.000026759,0.1531,0.000026128,0.000027300
am_pinned_r2,8192,h2d,pinned,cached,20,0.000027661,0.2962,0.000026870,0.000028171
am_pinned_r2,8192,d2h,pinned,cached,20,0.000028262,0.2899,0.000027892,0.000029534
am_pinned_r2,16384,h2d,pinned,cached,20,0.000029254,0.5601,0.000028743,0.000030215
am_pinned_r2,16384,d2h,pinned,cached,20,0.000030055,0.5451,0.000029774,0.000030986
am_pinned_r2,32768,h2d,pinned,cached,20,0.000031416,1.0430,0.000030756,0.000037215
am_pinned_r2,32768,d2h,pinned,cached,20,0.000033339,0.9829,0.000032318,0.000036314
am_pinned_r2,65536,h2d,pinned,cached,20,0.000037596,1.7432,0.000036174,0.000039419
am_pinned_r2,65536,d2h,pinned,cached,20,0.000041211,1.5903,0.000040650,0.000044025
am_pinned_r2,131072,h2d,pinned,cached,20,0.000047310,2.7705,0.000046579,0.000048563
am_pinned_r2,131072,d2h,pinned,cached,20,0.000055793,2.3493,0.000054481,0.000057886
am_pinned_r2,262144,h2d,pinned,cached,20,0.000069083,3.7946,0.000067420,0.000071396
am_pinned_r2,262144,d2h,pinned,cached,20,0.000087089,3.0101,0.000085568,0.000090294
am_pinned_r2,524288,h2d,pinned,cached,20,0.000115171,4.5523,0.000112608,0.000117936
am_pinned_r2,524288,d2h,pinned,cached,20,0.000142442,3.6807,0.000139888,0.000148220
am_pinned_r2,1048576,h2d,pinned,cached,20,0.000199767,5.2490,0.000196973,0.000203673
am_pinned_r2,1048576,d2h,pinned,cached,20,0.000330422,3.1734,0.000328238,0.000338563
am_pinned_r2,2097152,h2d,pinned,cached,20,0.000360476,5.8177,0.000356911,0.000364923
am_pinned_r2,2097152,d2h,pinned,cached,20,0.000627093,3.3442,0.000619401,0.000633883
am_pinned_r2,4194304,h2d,pinned,cached,20,0.000536638,7.8159,0.000533433,0.000589997
am_pinned_r2,4194304,d2h,pinned,cached,20,0.000206978,20.2645,0.000205926,0.000208420
