tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
assume_pageable_r2,4096,h2d,pageable,cached,20,0.000027330,0.1499,0.000026319,0.000028462
assume_pageable_r2,4096,d2h,pageable,cached,20,0.000027100,0.1511,0.000026459,0.000027661
assume_pageable_r2,8192,h2d,pageable,cached,20,0.000028322,0.2892,0.000027662,0.000029294
assume_pageable_r2,8192,d2h,pageable,cached,20,0.000028692,0.2855,0.000028213,0.000030926
assume_pageable_r2,16384,h2d,pageable,cached,20,0.000077916,0.2103,0.000073700,0.000118637
assume_pageable_r2,16384,d2h,pageable,cached,20,0.000030145,0.5435,0.000029624,0.000031917
assume_pageable_r2,32768,h2d,pageable,cached,20,0.000082022,0.3995,0.000075723,0.000182652
assume_pageable_r2,32768,d2h,pageable,cached,20,0.000034060,0.9621,0.000033219,0.000040891
assume_pageable_r2,65536,h2d,pageable,cached,20,0.000079248,0.8270,0.000077786,0.000081602
assume_pageable_r2,65536,d2h,pageable,cached,20,0.000041141,1.5930,0.000039890,0.000043225
assume_pageable_r2,131072,h2d,pageable,cached,20,0.000089103,1.4710,0.000087390,0.000091967
assume_pageable_r2,131072,d2h,pageable,cached,20,0.000055643,2.3556,0.000054732,0.000056634
assume_pageable_r2,262144,h2d,pageable,cached,20,0.000111956,2.3415,0.000109082,0.000136093
assume_pageable_r2,262144,d2h,pageable,cached,20,0.000088332,2.9677,0.000086318,0.000110234
assume_pageable_r2,524288,h2d,pageable,cached,20,0.000133179,3.9367,0.000130634,0.000139788
assume_pageable_r2,524288,d2h,pageable,cached,20,0.000163333,3.2099,0.000142993,0.000167419
assume_pageable_r2,1048576,h2d,pageable,cached,20,0.000192096,5.4586,0.000189101,0.000244053
assume_pageable_r2,1048576,d2h,pageable,cached,20,0.000330441,3.1733,0.000326355,0.000369900
assume_pageable_r2,2097152,h2d,pageable,cached,20,0.000294087,7.1311,0.000289942,0.000308219
assume_pageable_r2,2097152,d2h,pageable,cached,20,0.000622045,3.3714,0.000617568,0.000649576
assume_pageable_r2,4194304,h2d,pageable,cached,20,0.000518091,8.0957,0.000513503,0.000609426
assume_pageable_r2,4194304,d2h,pageable,cached,20,0.000523098,8.0182,0.000518541,0.000560854
