tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
assume_pinned_r1,4096,h2d,pinned,cached,20,0.000027251,0.1503,0.000026720,0.000042623
assume_pinned_r1,4096,d2h,pinned,cached,20,0.000026730,0.1532,0.000026340,0.000027942
assume_pinned_r1,8192,h2d,pinned,cached,20,0.000028181,0.2907,0.000027701,0.000028743
assume_pinned_r1,8192,d2h,pinned,cached,20,0.000028693,0.2855,0.000028352,0.000029955
assume_pinned_r1,16384,h2d,pinned,cached,20,0.000027681,0.5919,0.000026880,0.000028462
assume_pinned_r1,16384,d2h,pinned,cached,20,0.000030095,0.5444,0.000029564,0.000030526
assume_pinned_r1,32768,h2d,pinned,cached,20,0.000028803,1.1377,0.000028543,0.000034301
assume_pinned_r1,32768,d2h,pinned,cached,20,0.000033721,0.9717,0.000033289,0.000034071
assume_pinned_r1,65536,h2d,pinned,cached,20,0.000031276,2.0954,0.000030605,0.000031888
assume_pinned_r1,65536,d2h,pinned,cached,20,0.000041471,1.5803,0.000040329,0.000042093
assume_pinned_r1,131072,h2d,pinned,cached,20,0.000035693,3.6722,0.000035092,0.000036354
assume_pinned_r1,131072,d2h,pinned,cached,20,0.000055482,2.3624,0.000054090,0.000074601
assume_pinned_r1,262144,h2d,pinned,cached,20,0.000045818,5.7214,0.000045257,0.000046620
assume_pinned_r1,262144,d2h,pinned,cached,20,0.000087380,3.0000,0.000086088,0.000090515
assume_pinned_r1,524288,h2d,pinned,cached,20,0.000052007,10.0811,0.000051186,0.000053309
assume_pinned_r1,524288,d2h,pinned,cached,20,0.000142812,3.6712,0.000140920,0.000163593
assume_pinned_r1,1048576,h2d,pinned,cached,20,0.000076894,13.6366,0.000074981,0.000077856
assume_pinned_r1,1048576,d2h,pinned,cached,20,0.000328639,3.1907,0.000325264,0.000336300
assume_pinned_r1,2097152,h2d,pinned,cached,20,0.000112938,18.5691,0.000112497,0.000113859
assume_pinned_r1,2097152,d2h,pinned,cached,20,0.000622425,3.3693,0.000614573,0.000657768
assume_pinned_r1,4194304,h2d,pinned,cached,20,0.000199497,21.0244,0.000198976,0.000202981
assume_pinned_r1,4194304,d2h,pinned,cached,20,0.000207018,20.2606,0.000205927,0.000215210
