tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
fence_pageable_r3,4096,h2d,pageable,cached,20,0.000030636,0.1337,0.000029954,0.000035883
fence_pageable_r3,4096,d2h,pageable,cached,20,0.000027111,0.1511,0.000026509,0.000027711
fence_pageable_r3,8192,h2d,pageable,cached,20,0.000031778,0.2578,0.000031176,0.000033189
fence_pageable_r3,8192,d2h,pageable,cached,20,0.000028733,0.2851,0.000028101,0.000030876
fence_pageable_r3,16384,h2d,pageable,cached,20,0.000076824,0.2133,0.000075963,0.000079569
fence_pageable_r3,16384,d2h,pageable,cached,20,0.000030235,0.5419,0.000029704,0.000030986
fence_pageable_r3,32768,h2d,pageable,cached,20,0.000079689,0.4112,0.000077655,0.000100679
fence_pageable_r3,32768,d2h,pageable,cached,20,0.000033881,0.9671,0.000033380,0.000034661
fence_pageable_r3,65536,h2d,pageable,cached,20,0.000083153,0.7881,0.000080810,0.000086569
fence_pageable_r3,65536,d2h,pageable,cached,20,0.000041331,1.5856,0.000040219,0.000043235
fence_pageable_r3,131072,h2d,pageable,cached,20,0.000096013,1.3651,0.000093930,0.000098496
fence_pageable_r3,131072,d2h,pageable,cached,20,0.000055292,2.3705,0.000054702,0.000057145
fence_pageable_r3,262144,h2d,pageable,cached,20,0.000124164,2.1113,0.000121620,0.000126639
fence_pageable_r3,262144,d2h,pageable,cached,20,0.000086338,3.0363,0.000085106,0.000108141
fence_pageable_r3,524288,h2d,pageable,cached,20,0.000134550,3.8966,0.000131856,0.000167870
fence_pageable_r3,524288,d2h,pageable,cached,20,0.000144194,3.6360,0.000142342,0.000165836
fence_pageable_r3,1048576,h2d,pageable,cached,20,0.000192887,5.4362,0.000189813,0.000195120
fence_pageable_r3,1048576,d2h,pageable,cached,20,0.000327968,3.1972,0.000323941,0.000345234
fence_pageable_r3,2097152,h2d,pageable,cached,20,0.000297763,7.0430,0.000294458,0.000332724
fence_pageable_r3,2097152,d2h,pageable,cached,20,0.000620613,3.3792,0.000614545,0.000664488
fence_pageable_r3,4194304,h2d,pageable,cached,20,0.000525061,7.9882,0.000520884,0.000598981
fence_pageable_r3,4194304,d2h,pageable,cached,20,0.000530830,7.9014,0.000525572,0.000567544
