tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
fence_pinned_r2,4096,h2d,pinned,cached,20,0.000030155,0.1358,0.000029493,0.000031297
fence_pinned_r2,4096,d2h,pinned,cached,20,0.000026780,0.1529,0.000026139,0.000032588
fence_pinned_r2,8192,h2d,pinned,cached,20,0.000031367,0.2612,0.000030756,0.000032288
fence_pinned_r2,8192,d2h,pinned,cached,20,0.000029014,0.2823,0.000027971,0.000029745
fence_pinned_r2,16384,h2d,pinned,cached,20,0.000030465,0.5378,0.000030124,0.000038948
fence_pinned_r2,16384,d2h,pinned,cached,20,0.000030395,0.5390,0.000029985,0.000031336
fence_pinned_r2,32768,h2d,pinned,cached,20,0.000032027,1.0231,0.000031256,0.000032608
fence_pinned_r2,32768,d2h,pinned,cached,20,0.000033640,0.9741,0.000033239,0.000034081
fence_pinned_r2,65536,h2d,pinned,cached,20,0.000034431,1.9034,0.000033921,0.000035062
fence_pinned_r2,65536,d2h,pinned,cached,20,0.000041121,1.5937,0.000040160,0.000042022
fence_pinned_r2,131072,h2d,pinned,cached,20,0.000039108,3.3515,0.000038106,0.000052107
fence_pinned_r2,131072,d2h,pinned,cached,20,0.000055583,2.3581,0.000054701,0.000057575
fence_pinned_r2,262144,h2d,pinned,cached,20,0.000052478,4.9953,0.000051316,0.000060641
fence_pinned_r2,262144,d2h,pinned,cached,20,0.000088882,2.9493,0.000087600,0.000109623
fence_pinned_r2,524288,h2d,pinned,cached,20,0.000052798,9.9301,0.000052238,0.000054201
fence_pinned_r2,524288,d2h,pinned,cached,20,0.000145016,3.6154,0.000141380,0.000165136
fence_pinned_r2,1048576,h2d,pinned,cached,20,0.000077295,13.5659,0.000076273,0.000078807
fence_pinned_r2,1048576,d2h,pinned,cached,20,0.000330842,3.1694,0.000327938,0.000349390
fence_pinned_r2,2097152,h2d,pinned,cached,20,0.000113479,18.4805,0.000112857,0.000114680
fence_pinned_r2,2097152,d2h,pinned,cached,20,0.000621564,3.3740,0.000615665,0.000642936
fence_pinned_r2,4194304,h2d,pinned,cached,20,0.000199657,21.0075,0.000198746,0.000200899
fence_pinned_r2,4194304,d2h,pinned,cached,20,0.000206747,20.2871,0.000205565,0.000208369
