tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
flush_pageable_r1,4096,h2d,pageable,cached,20,0.000027611,0.1483,0.000026869,0.000034140
flush_pageable_r1,4096,d2h,pageable,cached,20,0.000026830,0.1527,0.000026399,0.000027491
flush_pageable_r1,8192,h2d,pageable,cached,20,0.000029484,0.2778,0.000029013,0.000030616
flush_pageable_r1,8192,d2h,pageable,cached,20,0.000028692,0.2855,0.000028282,0.000032449
flush_pageable_r1,16384,h2d,pageable,cached,20,0.000093108,0.1760,0.000073950,0.000351232
flush_pageable_r1,16384,d2h,pageable,cached,20,0.000030265,0.5414,0.000029264,0.000031316
flush_pageable_r1,32768,h2d,pageable,cached,20,0.000104816,0.3126,0.000079999,0.000804677
flush_pageable_r1,32768,d2h,pageable,cached,20,0.000033790,0.9698,0.000032918,0.000034712
flush_pageable_r1,65536,h2d,pageable,cached,20,0.000084496,0.7756,0.000080350,0.000154080
flush_pageable_r1,65536,d2h,pageable,cached,20,0.000041562,1.5768,0.000040510,0.000047311
flush_pageable_r1,131072,h2d,pageable,cached,20,0.000096213,1.3623,0.000093859,0.000098236
flush_pageable_r1,131072,d2h,pageable,cached,20,0.000056043,2.3388,0.000054592,0.000056424
flush_pageable_r1,262144,h2d,pageable,cached,20,0.000123604,2.1208,0.000121300,0.000128110
flush_pageable_r1,262144,d2h,pageable,cached,20,0.000088041,2.9775,0.000086318,0.000108311
flush_pageable_r1,524288,h2d,pageable,cached,20,0.000133578,3.9250,0.000131926,0.000139457
flush_pageable_r1,524288,d2h,pageable,cached,20,0.000143393,3.6563,0.000141080,0.000190944
flush_pageable_r1,1048576,h2d,pageable,cached,20,0.000194349,5.3953,0.000192646,0.000204263
flush_pageable_r1,1048576,d2h,pageable,cached,20,0.000327778,3.1990,0.000323711,0.000332154
flush_pageable_r1,2097152,h2d,pageable,cached,20,0.000300307,6.9834,0.000298263,0.000309420
flush_pageable_r1,2097152,d2h,pageable,cached,20,0.000619561,3.3849,0.000613522,0.000658869
flush_pageable_r1,4194304,h2d,pageable,cached,20,0.000532032,7.8836,0.000528286,0.000565511
flush_pageable_r1,4194304,d2h,pageable,cached,20,0.000536889,7.8122,0.000532912,0.000571590
