tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
flush_pinned_r3,4096,h2d,pinned,cached,20,0.000027851,0.1471,0.000027271,0.000030256
flush_pinned_r3,4096,d2h,pinned,cached,20,0.000027190,0.1506,0.000026549,0.000027801
flush_pinned_r3,8192,h2d,pinned,cached,20,0.000029725,0.2756,0.000029064,0.000034581
flush_pinned_r3,8192,d2h,pinned,cached,20,0.000028733,0.2851,0.000028192,0.000029935
flush_pinned_r3,16384,h2d,pinned,cached,20,0.000028262,0.5797,0.000027711,0.000028793
flush_pinned_r3,16384,d2h,pinned,cached,20,0.000030004,0.5461,0.000029414,0.000031056
flush_pinned_r3,32768,h2d,pinned,cached,20,0.000029675,1.1042,0.000028932,0.000030145
flush_pinned_r3,32768,d2h,pinned,cached,20,0.000033630,0.9744,0.000032448,0.000035834
flush_pinned_r3,65536,h2d,pinned,cached,20,0.000032358,2.0253,0.000031607,0.000033150
flush_pinned_r3,65536,d2h,pinned,cached,20,0.000041692,1.5719,0.000040611,0.000043955
flush_pinned_r3,131072,h2d,pinned,cached,20,0.000037416,3.5031,0.000037175,0.000038377
flush_pinned_r3,131072,d2h,pinned,cached,20,0.000055753,2.3509,0.000054531,0.000066349
flush_pinned_r3,262144,h2d,pinned,cached,20,0.000053259,4.9221,0.000052198,0.000054160
flush_pinned_r3,262144,d2h,pinned,cached,20,0.000087110,3.0093,0.000085798,0.000090515
flush_pinned_r3,524288,h2d,pinned,cached,20,0.000052328,10.0193,0.000051136,0.000053039
flush_pinned_r3,524288,d2h,pinned,cached,20,0.000145537,3.6024,0.000143423,0.000172897
flush_pinned_r3,1048576,h2d,pinned,cached,20,0.000077735,13.4891,0.000077005,0.000081201
flush_pinned_r3,1048576,d2h,pinned,cached,20,0.000331543,3.1627,0.000327737,0.000338624
flush_pinned_r3,2097152,h2d,pinned,cached,20,0.000113459,18.4838,0.000112547,0.000114841
flush_pinned_r3,2097152,d2h,pinned,cached,20,0.000627013,3.3447,0.000619601,0.000658659
flush_pinned_r3,4194304,h2d,pinned,cached,20,0.000199627,21.0107,0.000199146,0.000200778
flush_pinned_r3,4194304,d2h,pinned,cached,20,0.000207148,20.2479,0.000205626,0.000207939
