brazo,rep,bytes,gbps
assume,1,131072,3.6712
assume,1,163840,4.3177
assume,1,196608,4.9252
assume,1,229376,5.4286
assume,1,262144,5.8428
assume,1,294912,6.0917
assume,1,327680,6.2752
assume,1,393216,9.1586
assume,1,524288,10.8454
flush,1,131072,3.5459
flush,1,163840,4.0889
flush,1,196608,4.5193
flush,1,229376,4.7935
flush,1,262144,4.8862
flush,1,294912,5.1844
flush,1,327680,5.3559
flush,1,393216,9.1267
flush,1,524288,10.8499
assume,2,131072,3.6445
assume,2,163840,4.2770
assume,2,196608,4.8617
assume,2,229376,5.3165
assume,2,262144,5.7176
assume,2,294912,6.0257
assume,2,327680,6.2766
assume,2,393216,9.1864
assume,2,524288,10.8074
flush,2,131072,3.4660
flush,2,163840,3.9659
flush,2,196608,4.4415
flush,2,229376,4.6524
flush,2,262144,4.8889
flush,2,294912,5.0719
flush,2,327680,5.1316
flush,2,393216,9.0930
flush,2,524288,10.7739
assume,3,131072,3.6315
assume,3,163840,4.3257
assume,3,196608,4.8883
assume,3,229376,5.3916
assume,3,262144,5.8362
assume,3,294912,6.1412
assume,3,327680,6.3226
assume,3,393216,9.1757
assume,3,524288,10.8882
flush,3,131072,3.5449
flush,3,163840,4.0665
flush,3,196608,4.4996
flush,3,229376,4.8258
flush,3,262144,5.1144
flush,3,294912,5.3222
flush,3,327680,5.4360
flush,3,393216,9.1586
flush,3,524288,10.8342
