direction,bytes,arm,n_runs,median_gbps
d2h,4096,off,3,0.15
d2h,4096,on,3,0.13
d2h,8192,off,3,0.29
d2h,8192,on,3,0.25
d2h,16384,off,3,0.55
d2h,16384,on,3,0.48
d2h,32768,off,3,0.97
d2h,32768,on,3,0.91
d2h,65536,off,3,1.59
d2h,65536,on,3,1.63
d2h,131072,off,3,2.36
d2h,131072,on,3,2.77
d2h,262144,off,3,2.96
d2h,262144,on,3,4.09
d2h,524288,off,3,3.65
d2h,524288,on,3,9.66
d2h,1048576,off,3,3.17
d2h,1048576,on,3,13.85
d2h,2097152,off,3,3.36
d2h,2097152,on,3,17.49
d2h,4194304,off,3,3.68
d2h,4194304,on,3,20.3
d2h,8388608,off,3,3.88
d2h,8388608,on,3,22.05
d2h,16777216,off,3,3.9
d2h,16777216,on,3,23.09
d2h,33554432,off,3,3.0
d2h,33554432,on,3,23.61
d2h,67108864,off,3,3.89
d2h,67108864,on,3,22.95
h2d,4096,off,3,0.16
h2d,4096,on,3,0.16
h2d,8192,off,3,0.3
h2d,8192,on,3,0.29
h2d,16384,off,3,0.58
h2d,16384,on,3,0.58
h2d,32768,off,3,1.1
h2d,32768,on,3,1.11
h2d,65536,off,3,2.02
h2d,65536,on,3,2.03
h2d,131072,off,3,3.49
h2d,131072,on,3,3.49
h2d,262144,off,3,4.97
h2d,262144,on,3,5.0
h2d,524288,off,3,9.91
h2d,524288,on,3,10.63
h2d,1048576,off,3,13.55
h2d,1048576,on,3,14.96
h2d,2097152,off,3,18.51
h2d,2097152,on,3,18.5
h2d,4194304,off,3,21.02
h2d,4194304,on,3,21.03
h2d,8388608,off,3,22.45
h2d,8388608,on,3,22.46
h2d,16777216,off,3,23.26
h2d,16777216,on,3,23.25
h2d,33554432,off,3,23.67
h2d,33554432,on,3,23.67
h2d,67108864,off,3,23.24
h2d,67108864,on,3,23.18
