arm,nopark,ablate,rep,exit,bytes_malos,parked,ack_epoch_dropped,ack_gen_mismatch,ack_on_free,ack_applied,reservations,peak_inflight,veredicto
park_on_guard_on,0,full,1,0,0,81,0,0,0,320,320,7,sin corrupcion
park_on_guard_on,0,full,2,0,0,81,0,0,0,320,320,7,sin corrupcion
park_on_guard_on,0,full,3,0,0,81,0,0,0,320,320,7,sin corrupcion
park_off_guard_on,1,full,1,0,0,0,126,0,0,194,320,127,sin corrupcion
park_off_guard_on,1,full,2,0,0,0,126,0,0,194,320,127,sin corrupcion
park_off_guard_on,1,full,3,0,0,0,126,0,0,194,320,127,sin corrupcion
park_off_guard_off,1,no_epoch,1,0,0,0,0,38,81,194,320,127,sin corrupcion
park_off_guard_off,1,no_epoch,2,0,0,0,0,38,81,194,320,127,sin corrupcion
park_off_guard_off,1,no_epoch,3,0,0,0,0,38,81,194,320,127,sin corrupcion
park_on_guard_off,0,no_epoch,1,0,0,81,0,0,0,320,320,7,sin corrupcion
park_on_guard_off,0,no_epoch,2,0,0,81,0,0,0,320,320,7,sin corrupcion
park_on_guard_off,0,no_epoch,3,0,0,81,0,0,0,320,320,7,sin corrupcion
