tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_am_pageable_r2,4096,h2d,pageable,cached,20,0.000027000,0.1517,0.000026249,0.000028903
mf_am_pageable_r2,4096,d2h,pageable,cached,20,0.000028222,0.1451,0.000027621,0.000029414
mf_am_pageable_r2,8192,h2d,pageable,cached,20,0.000029504,0.2777,0.000028914,0.000030315
mf_am_pageable_r2,8192,d2h,pageable,cached,20,0.000029884,0.2741,0.000029574,0.000030285
mf_am_pageable_r2,16384,h2d,pageable,cached,20,0.000031296,0.5235,0.000030655,0.000032008
mf_am_pageable_r2,16384,d2h,pageable,cached,20,0.000031527,0.5197,0.000031117,0.000032208
mf_am_pageable_r2,32768,h2d,pageable,cached,20,0.000033379,0.9817,0.000032468,0.000034571
mf_am_pageable_r2,32768,d2h,pageable,cached,20,0.000035553,0.9217,0.000034401,0.000036324
mf_am_pageable_r2,65536,h2d,pageable,cached,20,0.000038397,1.7068,0.000037406,0.000039780
mf_am_pageable_r2,65536,d2h,pageable,cached,20,0.000042763,1.5325,0.000041522,0.000044646
mf_am_pageable_r2,131072,h2d,pageable,cached,20,0.000048312,2.7130,0.000047591,0.000050595
mf_am_pageable_r2,131072,d2h,pageable,cached,20,0.000057525,2.2785,0.000056134,0.000060169
mf_am_pageable_r2,262144,h2d,pageable,cached,20,0.000071446,3.6691,0.000069864,0.000073079
mf_am_pageable_r2,262144,d2h,pageable,cached,20,0.000089404,2.9321,0.000087710,0.000093308
mf_am_pageable_r2,524288,h2d,pageable,cached,20,0.000117434,4.4645,0.000114520,0.000123373
mf_am_pageable_r2,524288,d2h,pageable,cached,20,0.000147410,3.5567,0.000144254,0.000165636
mf_am_pageable_r2,1048576,h2d,pageable,cached,20,0.000201150,5.2129,0.000199336,0.000221489
mf_am_pageable_r2,1048576,d2h,pageable,cached,20,0.000330371,3.1739,0.000327957,0.000350211
mf_am_pageable_r2,2097152,h2d,pageable,cached,20,0.000365593,5.7363,0.000360365,0.000383860
mf_am_pageable_r2,2097152,d2h,pageable,cached,20,0.000622786,3.3674,0.000619751,0.000643056
mf_am_pageable_r2,4194304,h2d,pageable,cached,20,0.000547274,7.6640,0.000537569,0.000592100
mf_am_pageable_r2,4194304,d2h,pageable,cached,20,0.000532412,7.8779,0.000526693,0.000621534
