tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_am_pinned_r3,4096,h2d,pinned,cached,20,0.000026920,0.1522,0.000026068,0.000028222
mf_am_pinned_r3,4096,d2h,pinned,cached,20,0.000028242,0.1450,0.000027751,0.000030385
mf_am_pinned_r3,8192,h2d,pinned,cached,20,0.000029043,0.2821,0.000028422,0.000047500
mf_am_pinned_r3,8192,d2h,pinned,cached,20,0.000029924,0.2738,0.000029323,0.000030645
mf_am_pinned_r3,16384,h2d,pinned,cached,20,0.000030735,0.5331,0.000029994,0.000031758
mf_am_pinned_r3,16384,d2h,pinned,cached,20,0.000031346,0.5227,0.000031136,0.000032238
mf_am_pinned_r3,32768,h2d,pinned,cached,20,0.000033089,0.9903,0.000032298,0.000035322
mf_am_pinned_r3,32768,d2h,pinned,cached,20,0.000035844,0.9142,0.000034972,0.000036444
mf_am_pinned_r3,65536,h2d,pinned,cached,20,0.000038757,1.6909,0.000037606,0.000040450
mf_am_pinned_r3,65536,d2h,pinned,cached,20,0.000042824,1.5304,0.000042383,0.000043675
mf_am_pinned_r3,131072,h2d,pinned,cached,20,0.000048522,2.7013,0.000047000,0.000051296
mf_am_pinned_r3,131072,d2h,pinned,cached,20,0.000057496,2.2797,0.000056173,0.000060690
mf_am_pinned_r3,262144,h2d,pinned,cached,20,0.000073279,3.5773,0.000071836,0.000089293
mf_am_pinned_r3,262144,d2h,pinned,cached,20,0.000089814,2.9187,0.000088311,0.000094000
mf_am_pinned_r3,524288,h2d,pinned,cached,20,0.000118826,4.4122,0.000116243,0.000128080
mf_am_pinned_r3,524288,d2h,pinned,cached,20,0.000145927,3.5928,0.000144455,0.000152647
mf_am_pinned_r3,1048576,h2d,pinned,cached,20,0.000201349,5.2078,0.000200047,0.000238545
mf_am_pinned_r3,1048576,d2h,pinned,cached,20,0.000335168,3.1285,0.000329439,0.000340917
mf_am_pinned_r3,2097152,h2d,pinned,cached,20,0.000363471,5.7698,0.000357691,0.000381958
mf_am_pinned_r3,2097152,d2h,pinned,cached,20,0.000635144,3.3019,0.000627433,0.000646211
mf_am_pinned_r3,4194304,h2d,pinned,cached,20,0.000537369,7.8053,0.000532062,0.000567094
mf_am_pinned_r3,4194304,d2h,pinned,cached,20,0.000208010,20.1640,0.000206186,0.000212937
