tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_oracle_pageable_r2,4096,h2d,pageable,cached,20,0.000027351,0.1498,0.000026730,0.000028723
mf_oracle_pageable_r2,4096,d2h,pageable,cached,20,0.000027972,0.1464,0.000027490,0.000028503
mf_oracle_pageable_r2,8192,h2d,pageable,cached,20,0.000029614,0.2766,0.000028693,0.000040490
mf_oracle_pageable_r2,8192,d2h,pageable,cached,20,0.000030105,0.2721,0.000029214,0.000030856
mf_oracle_pageable_r2,16384,h2d,pageable,cached,20,0.000031327,0.5230,0.000030756,0.000040330
mf_oracle_pageable_r2,16384,d2h,pageable,cached,20,0.000032628,0.5021,0.000031637,0.000035052
mf_oracle_pageable_r2,32768,h2d,pageable,cached,20,0.000033229,0.9861,0.000032348,0.000038497
mf_oracle_pageable_r2,32768,d2h,pageable,cached,20,0.000035383,0.9261,0.000034872,0.000035883
mf_oracle_pageable_r2,65536,h2d,pageable,cached,20,0.000038177,1.7166,0.000037316,0.000043224
mf_oracle_pageable_r2,65536,d2h,pageable,cached,20,0.000042393,1.5459,0.000041231,0.000043665
mf_oracle_pageable_r2,131072,h2d,pageable,cached,20,0.000048693,2.6918,0.000048022,0.000066729
mf_oracle_pageable_r2,131072,d2h,pageable,cached,20,0.000057425,2.2825,0.000056614,0.000060129
mf_oracle_pageable_r2,262144,h2d,pageable,cached,20,0.000071396,3.6717,0.000070295,0.000074310
mf_oracle_pageable_r2,262144,d2h,pageable,cached,20,0.000089012,2.9450,0.000086899,0.000092989
mf_oracle_pageable_r2,524288,h2d,pageable,cached,20,0.000117545,4.4603,0.000111146,0.000121551
mf_oracle_pageable_r2,524288,d2h,pageable,cached,20,0.000145026,3.6151,0.000143163,0.000148651
mf_oracle_pageable_r2,1048576,h2d,pageable,cached,20,0.000194569,5.3892,0.000192606,0.000200678
mf_oracle_pageable_r2,1048576,d2h,pageable,cached,20,0.000332965,3.1492,0.000327838,0.000351963
mf_oracle_pageable_r2,2097152,h2d,pageable,cached,20,0.000300868,6.9703,0.000296632,0.000332184
mf_oracle_pageable_r2,2097152,d2h,pageable,cached,20,0.000624399,3.3587,0.000618349,0.000667803
mf_oracle_pageable_r2,4194304,h2d,pageable,cached,20,0.000527134,7.9568,0.000522848,0.000611910
mf_oracle_pageable_r2,4194304,d2h,pageable,cached,20,0.000532511,7.8765,0.000528536,0.000588335
