tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_oracle_pinned_r1,4096,h2d,pinned,cached,20,0.000026809,0.1528,0.000025949,0.000028473
mf_oracle_pinned_r1,4096,d2h,pinned,cached,20,0.000027711,0.1478,0.000027220,0.000028342
mf_oracle_pinned_r1,8192,h2d,pinned,cached,20,0.000029303,0.2796,0.000028452,0.000035703
mf_oracle_pinned_r1,8192,d2h,pinned,cached,20,0.000029665,0.2762,0.000028583,0.000030395
mf_oracle_pinned_r1,16384,h2d,pinned,cached,20,0.000028853,0.5678,0.000028172,0.000031036
mf_oracle_pinned_r1,16384,d2h,pinned,cached,20,0.000031447,0.5210,0.000030806,0.000033119
mf_oracle_pinned_r1,32768,h2d,pinned,cached,20,0.000030475,1.0752,0.000030044,0.000031427
mf_oracle_pinned_r1,32768,d2h,pinned,cached,20,0.000034952,0.9375,0.000034080,0.000035954
mf_oracle_pinned_r1,65536,h2d,pinned,cached,20,0.000032798,1.9982,0.000032238,0.000033620
mf_oracle_pinned_r1,65536,d2h,pinned,cached,20,0.000042052,1.5585,0.000041312,0.000043194
mf_oracle_pinned_r1,131072,h2d,pinned,cached,20,0.000038157,3.4351,0.000037516,0.000051006
mf_oracle_pinned_r1,131072,d2h,pinned,cached,20,0.000056624,2.3148,0.000055783,0.000059789
mf_oracle_pinned_r1,262144,h2d,pinned,cached,20,0.000054000,4.8545,0.000053240,0.000055041
mf_oracle_pinned_r1,262144,d2h,pinned,cached,20,0.000087991,2.9792,0.000086668,0.000090835
mf_oracle_pinned_r1,524288,h2d,pinned,cached,20,0.000053429,9.8128,0.000052749,0.000053971
mf_oracle_pinned_r1,524288,d2h,pinned,cached,20,0.000146818,3.5710,0.000143463,0.000175942
mf_oracle_pinned_r1,1048576,h2d,pinned,cached,20,0.000077666,13.5011,0.000077235,0.000078497
mf_oracle_pinned_r1,1048576,d2h,pinned,cached,20,0.000333926,3.1401,0.000329389,0.000343040
mf_oracle_pinned_r1,2097152,h2d,pinned,cached,20,0.000114220,18.3606,0.000113509,0.000115232
mf_oracle_pinned_r1,2097152,d2h,pinned,cached,20,0.000627593,3.3416,0.000621904,0.000653041
mf_oracle_pinned_r1,4194304,h2d,pinned,cached,20,0.000200568,20.9121,0.000199817,0.000207228
mf_oracle_pinned_r1,4194304,d2h,pinned,cached,20,0.000207799,20.1844,0.000206337,0.000210132
