tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_quadrant_pageable_r1,4096,h2d,pageable,cached,20,0.000027211,0.1505,0.000026139,0.000028592
mf_quadrant_pageable_r1,4096,d2h,pageable,cached,20,0.000027991,0.1463,0.000027441,0.000031948
mf_quadrant_pageable_r1,8192,h2d,pageable,cached,20,0.000028973,0.2827,0.000028082,0.000029874
mf_quadrant_pageable_r1,8192,d2h,pageable,cached,20,0.000029814,0.2748,0.000029524,0.000030365
mf_quadrant_pageable_r1,16384,h2d,pageable,cached,20,0.000030875,0.5307,0.000029804,0.000031297
mf_quadrant_pageable_r1,16384,d2h,pageable,cached,20,0.000031397,0.5218,0.000030896,0.000031777
mf_quadrant_pageable_r1,32768,h2d,pageable,cached,20,0.000032709,1.0018,0.000032077,0.000033350
mf_quadrant_pageable_r1,32768,d2h,pageable,cached,20,0.000035413,0.9253,0.000034461,0.000036343
mf_quadrant_pageable_r1,65536,h2d,pageable,cached,20,0.000038307,1.7108,0.000037436,0.000038978
mf_quadrant_pageable_r1,65536,d2h,pageable,cached,20,0.000042553,1.5401,0.000041872,0.000043234
mf_quadrant_pageable_r1,131072,h2d,pageable,cached,20,0.000048412,2.7074,0.000047601,0.000050355
mf_quadrant_pageable_r1,131072,d2h,pageable,cached,20,0.000057075,2.2965,0.000055572,0.000064206
mf_quadrant_pageable_r1,262144,h2d,pageable,cached,20,0.000071156,3.6841,0.000070265,0.000089303
mf_quadrant_pageable_r1,262144,d2h,pageable,cached,20,0.000088481,2.9627,0.000086799,0.000108061
mf_quadrant_pageable_r1,524288,h2d,pageable,cached,20,0.000117124,4.4763,0.000114800,0.000139888
mf_quadrant_pageable_r1,524288,d2h,pageable,cached,20,0.000146759,3.5724,0.000144355,0.000166888
mf_quadrant_pageable_r1,1048576,h2d,pageable,cached,20,0.000188090,5.5749,0.000186107,0.000204734
mf_quadrant_pageable_r1,1048576,d2h,pageable,cached,20,0.000330651,3.1712,0.000328909,0.000373826
mf_quadrant_pageable_r1,2097152,h2d,pageable,cached,20,0.000295019,7.1085,0.000292876,0.000305995
mf_quadrant_pageable_r1,2097152,d2h,pageable,cached,20,0.000623427,3.3639,0.000618439,0.000662585
mf_quadrant_pageable_r1,4194304,h2d,pageable,cached,20,0.000526883,7.9606,0.000522016,0.000633221
mf_quadrant_pageable_r1,4194304,d2h,pageable,cached,20,0.000531571,7.8904,0.000527224,0.000565290
