tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_quadrant_pinned_r3,4096,h2d,pinned,cached,20,0.000027181,0.1507,0.000026499,0.000029374
mf_quadrant_pinned_r3,4096,d2h,pinned,cached,20,0.000027862,0.1470,0.000027331,0.000028863
mf_quadrant_pinned_r3,8192,h2d,pinned,cached,20,0.000029203,0.2805,0.000028732,0.000030065
mf_quadrant_pinned_r3,8192,d2h,pinned,cached,20,0.000029904,0.2739,0.000028783,0.000030695
mf_quadrant_pinned_r3,16384,h2d,pinned,cached,20,0.000028863,0.5676,0.000028313,0.000034702
mf_quadrant_pinned_r3,16384,d2h,pinned,cached,20,0.000031337,0.5228,0.000030796,0.000032048
mf_quadrant_pinned_r3,32768,h2d,pinned,cached,20,0.000030906,1.0602,0.000030275,0.000031206
mf_quadrant_pinned_r3,32768,d2h,pinned,cached,20,0.000035242,0.9298,0.000033950,0.000039779
mf_quadrant_pinned_r3,65536,h2d,pinned,cached,20,0.000033140,1.9775,0.000032648,0.000033680
mf_quadrant_pinned_r3,65536,d2h,pinned,cached,20,0.000042243,1.5514,0.000041572,0.000047410
mf_quadrant_pinned_r3,131072,h2d,pinned,cached,20,0.000038357,3.4172,0.000037496,0.000041191
mf_quadrant_pinned_r3,131072,d2h,pinned,cached,20,0.000056635,2.3143,0.000055382,0.000058837
mf_quadrant_pinned_r3,262144,h2d,pinned,cached,20,0.000052829,4.9621,0.000051676,0.000058507
mf_quadrant_pinned_r3,262144,d2h,pinned,cached,20,0.000088752,2.9537,0.000087059,0.000096844
mf_quadrant_pinned_r3,524288,h2d,pinned,cached,20,0.000052868,9.9169,0.000052417,0.000053579
mf_quadrant_pinned_r3,524288,d2h,pinned,cached,20,0.000145817,3.5955,0.000143113,0.000165266
mf_quadrant_pinned_r3,1048576,h2d,pinned,cached,20,0.000077345,13.5571,0.000076303,0.000078347
mf_quadrant_pinned_r3,1048576,d2h,pinned,cached,20,0.000332614,3.1525,0.000329721,0.000353115
mf_quadrant_pinned_r3,2097152,h2d,pinned,cached,20,0.000114100,18.3799,0.000113399,0.000115151
mf_quadrant_pinned_r3,2097152,d2h,pinned,cached,20,0.000624638,3.3574,0.000619230,0.000648014
mf_quadrant_pinned_r3,4194304,h2d,pinned,cached,20,0.000200769,20.8912,0.000199857,0.000202000
mf_quadrant_pinned_r3,4194304,d2h,pinned,cached,20,0.000207949,20.1699,0.000207329,0.000209562
