tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_scalar_pageable_r1,4096,h2d,pageable,cached,20,0.000026670,0.1536,0.000026389,0.000028112
mf_scalar_pageable_r1,4096,d2h,pageable,cached,20,0.000027080,0.1513,0.000026469,0.000050025
mf_scalar_pageable_r1,8192,h2d,pageable,cached,20,0.000030986,0.2644,0.000030195,0.000032098
mf_scalar_pageable_r1,8192,d2h,pageable,cached,20,0.000029563,0.2771,0.000028722,0.000030536
mf_scalar_pageable_r1,16384,h2d,pageable,cached,20,0.000074771,0.2191,0.000073299,0.087020451
mf_scalar_pageable_r1,16384,d2h,pageable,cached,20,0.000031647,0.5177,0.000030966,0.000032508
mf_scalar_pageable_r1,32768,h2d,pageable,cached,20,0.000078057,0.4198,0.000075522,0.000086149
mf_scalar_pageable_r1,32768,d2h,pageable,cached,20,0.000035342,0.9272,0.000034772,0.000038187
mf_scalar_pageable_r1,65536,h2d,pageable,cached,20,0.000084666,0.7741,0.000082683,0.000089984
mf_scalar_pageable_r1,65536,d2h,pageable,cached,20,0.000042684,1.5354,0.000042003,0.000045137
mf_scalar_pageable_r1,131072,h2d,pageable,cached,20,0.000096804,1.3540,0.000094630,0.000114700
mf_scalar_pageable_r1,131072,d2h,pageable,cached,20,0.000057445,2.2817,0.000056174,0.000059138
mf_scalar_pageable_r1,262144,h2d,pageable,cached,20,0.000124525,2.1052,0.000122482,0.000131575
mf_scalar_pageable_r1,262144,d2h,pageable,cached,20,0.000088541,2.9607,0.000087761,0.000100540
mf_scalar_pageable_r1,524288,h2d,pageable,cached,20,0.000136664,3.8363,0.000134670,0.000137605
mf_scalar_pageable_r1,524288,d2h,pageable,cached,20,0.000144635,3.6249,0.000142853,0.000154269
mf_scalar_pageable_r1,1048576,h2d,pageable,cached,20,0.000196222,5.3438,0.000191955,0.000227638
mf_scalar_pageable_r1,1048576,d2h,pageable,cached,20,0.000329610,3.1813,0.000325974,0.000340326
mf_scalar_pageable_r1,2097152,h2d,pageable,cached,20,0.000306565,6.8408,0.000302300,0.000368668
mf_scalar_pageable_r1,2097152,d2h,pageable,cached,20,0.000621183,3.3761,0.000614684,0.000695094
mf_scalar_pageable_r1,4194304,h2d,pageable,cached,20,0.000536718,7.8147,0.000528746,0.000604358
mf_scalar_pageable_r1,4194304,d2h,pageable,cached,20,0.000539763,7.7706,0.000535276,0.000568865
