tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_scalar_pinned_r2,4096,h2d,pinned,cached,20,0.000027270,0.1502,0.000026760,0.000029294
mf_scalar_pinned_r2,4096,d2h,pinned,cached,20,0.000027871,0.1470,0.000027341,0.000029073
mf_scalar_pinned_r2,8192,h2d,pinned,cached,20,0.000030866,0.2654,0.000029914,0.000031727
mf_scalar_pinned_r2,8192,d2h,pinned,cached,20,0.000030114,0.2720,0.000029384,0.000030795
mf_scalar_pinned_r2,16384,h2d,pinned,cached,20,0.000029143,0.5622,0.000028833,0.000029844
mf_scalar_pinned_r2,16384,d2h,pinned,cached,20,0.000031356,0.5225,0.000031026,0.000031977
mf_scalar_pinned_r2,32768,h2d,pinned,cached,20,0.000030796,1.0640,0.000030275,0.000031798
mf_scalar_pinned_r2,32768,d2h,pinned,cached,20,0.000035703,0.9178,0.000034792,0.000037526
mf_scalar_pinned_r2,65536,h2d,pinned,cached,20,0.000033389,1.9628,0.000032668,0.000034251
mf_scalar_pinned_r2,65536,d2h,pinned,cached,20,0.000042913,1.5272,0.000041642,0.000045587
mf_scalar_pinned_r2,131072,h2d,pinned,cached,20,0.000039298,3.3353,0.000038508,0.000044787
mf_scalar_pinned_r2,131072,d2h,pinned,cached,20,0.000057456,2.2813,0.000056625,0.000058587
mf_scalar_pinned_r2,262144,h2d,pinned,cached,20,0.000055633,4.7120,0.000054461,0.000058987
mf_scalar_pinned_r2,262144,d2h,pinned,cached,20,0.000090385,2.9003,0.000089323,0.000095673
mf_scalar_pinned_r2,524288,h2d,pinned,cached,20,0.000053539,9.7926,0.000052538,0.000054731
mf_scalar_pinned_r2,524288,d2h,pinned,cached,20,0.000174189,3.0099,0.000144094,0.000184143
mf_scalar_pinned_r2,1048576,h2d,pinned,cached,20,0.000078066,13.4319,0.000077455,0.000078887
mf_scalar_pinned_r2,1048576,d2h,pinned,cached,20,0.000335829,3.1224,0.000331934,0.000344312
mf_scalar_pinned_r2,2097152,h2d,pinned,cached,20,0.000114470,18.3205,0.000113829,0.000117896
mf_scalar_pinned_r2,2097152,d2h,pinned,cached,20,0.000630788,3.3247,0.000627002,0.000666712
mf_scalar_pinned_r2,4194304,h2d,pinned,cached,20,0.000200588,20.9100,0.000200108,0.000201540
mf_scalar_pinned_r2,4194304,d2h,pinned,cached,20,0.000207949,20.1699,0.000206257,0.000213157
