system,N,seed,cohort,tenant_id,runtime_s,wall_s,lookups_per_s,normalized_progress,slowdown
baremetal,2,00,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed00,0,23.634,24.815787,25386783.0,0.5003,1.9986
baremetal,2,00,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed00,1,23.642,24.845219,25378828.0,0.5002,1.9993
baremetal,2,01,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed01,0,23.753,24.729481,25259856.0,0.4978,2.0087
baremetal,2,01,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed01,1,23.745,24.699612,25268475.0,0.498,2.008
baremetal,2,02,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed02,0,24.061,25.01792,24936653.0,0.4915,2.0348
baremetal,2,02,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed02,1,24.055,24.988452,24942960.0,0.4916,2.0342
baremetal,2,03,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed03,0,24.459,25.390373,24530695.0,0.4835,2.0684
baremetal,2,03,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed03,1,24.465,25.42031,24524759.0,0.4833,2.0689
baremetal,2,04,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed04,0,24.5,25.460781,24489722.0,0.4827,2.0719
baremetal,2,04,xsbench_campaign/results/xsbench/baremetal/N2/sync/seed04,1,24.494,25.430842,24495976.0,0.4828,2.0714
baremetal,4,00,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed00,0,49.042,50.232865,12234317.0,0.2411,4.1473
baremetal,4,00,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed00,1,49.042,50.15938,12234382.0,0.2411,4.1473
baremetal,4,00,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed00,2,49.049,50.207132,12232558.0,0.2411,4.1479
baremetal,4,00,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed00,3,49.042,50.182788,12234384.0,0.2411,4.1473
baremetal,4,01,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed01,0,49.09,50.168129,12222418.0,0.2409,4.1514
baremetal,4,01,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed01,1,49.098,50.239621,12220495.0,0.2408,4.1521
baremetal,4,01,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed01,2,49.091,50.214256,12222272.0,0.2409,4.1515
baremetal,4,01,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed01,3,49.09,50.190806,12222358.0,0.2409,4.1514
baremetal,4,02,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed02,0,49.122,50.196695,12214583.0,0.2407,4.1541
baremetal,4,02,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed02,1,49.128,50.270817,12212935.0,0.2407,4.1546
baremetal,4,02,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed02,2,49.121,50.245018,12214700.0,0.2407,4.154
baremetal,4,02,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed02,3,49.128,50.220704,12213072.0,0.2407,4.1546
baremetal,4,03,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed03,0,49.08,50.196415,12224890.0,0.2409,4.1505
baremetal,4,03,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed03,1,49.087,50.220405,12223141.0,0.2409,4.1511
baremetal,4,03,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed03,2,49.089,50.172645,12222794.0,0.2409,4.1513
baremetal,4,03,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed03,3,49.087,50.145344,12223201.0,0.2409,4.1511
baremetal,4,04,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed04,0,48.572,49.648906,12352717.0,0.2435,4.1076
baremetal,4,04,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed04,1,48.57,49.673407,12353306.0,0.2435,4.1074
baremetal,4,04,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed04,2,48.569,49.698146,12353532.0,0.2435,4.1073
baremetal,4,04,xsbench_campaign/results/xsbench/baremetal/N4/sync/seed04,3,48.577,49.723615,12351597.0,0.2434,4.108
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,0,96.705,98.217207,6204406.0,0.1223,8.178
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,1,96.698,98.195235,6204863.0,0.1223,8.1774
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,2,96.699,98.119587,6204849.0,0.1223,8.1775
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,3,96.699,98.14284,6204846.0,0.1223,8.1775
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,4,96.699,98.067314,6204850.0,0.1223,8.1775
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,5,96.699,98.169165,6204828.0,0.1223,8.1775
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,6,96.704,98.036269,6204487.0,0.1223,8.1779
baremetal,8,00,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed00,7,96.764,98.094607,6200634.0,0.1222,8.183
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,0,97.034,98.491304,6183391.0,0.1219,8.2058
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,1,97.072,98.415003,6180992.0,0.1218,8.209
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,2,97.034,98.561242,6183424.0,0.1219,8.2058
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,3,97.053,98.512935,6182192.0,0.1218,8.2074
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,4,97.036,98.537994,6183243.0,0.1219,8.206
baremetal,8,01,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed01,5,97.037,98.442844,6183186.0,0.1219,8.2061
