workload,system,variante,N,mode,seed,tenants_presentes,trabajo_identico,start_spread_s,tenants_exit_no_cero,tenants_incorrectos,jain_int,peor_slowdown_int,mediana_slowdown_int,ratio_lento_rapido_int,cv_int,cohort_time_int,jain_wall,peor_slowdown_wall,mediana_slowdown_wall,ratio_lento_rapido_wall,cv_wall,cohort_time_wall
babelstream,baremetal,,2,sync,00,2,True,0.0,0,0,1.0,2.242,2.237,1.004,0.0022,0.005,1.0,2.038,2.028,1.009,0.0046,21.966
babelstream,baremetal,,2,sync,01,2,True,0.0,0,0,1.0,2.245,2.243,1.002,0.001,0.005,1.0,2.038,2.038,1.0,0.0,21.966
babelstream,baremetal,,2,sync,02,2,True,0.0,0,0,0.9947,2.246,2.093,1.157,0.0728,0.005,1.0,2.038,2.038,1.0,0.0,21.967
babelstream,baremetal,,2,sync,03,2,True,0.0,0,0,0.9948,2.247,2.095,1.157,0.0726,0.005,1.0,2.038,2.038,1.0,0.0,21.966
babelstream,baremetal,,2,sync,04,2,True,0.0,0,0,0.9947,2.245,2.093,1.157,0.0728,0.005,1.0,2.038,2.038,1.0,0.0,21.966
babelstream,baremetal,,4,sync,00,4,True,0.001,0,0,0.9961,5.032,4.458,1.189,0.0625,0.012,1.0,3.976,3.976,1.005,0.0021,42.865
babelstream,baremetal,,4,sync,01,4,True,0.001,0,0,0.989,6.066,4.681,1.3,0.1053,0.014,1.0,3.957,3.948,1.005,0.0024,42.662
babelstream,baremetal,,4,sync,02,4,True,0.002,0,0,0.9981,5.249,4.862,1.111,0.0434,0.013,1.0,3.957,3.957,1.005,0.0021,42.661
babelstream,baremetal,,4,sync,03,4,True,0.001,0,0,0.9989,5.205,5.002,1.097,0.0332,0.012,1.0,3.957,3.957,1.0,0.0,42.659
babelstream,baremetal,,4,sync,04,4,True,0.001,0,0,0.9991,4.473,4.167,1.074,0.0303,0.011,1.0,3.976,3.957,1.005,0.0021,42.864
babelstream,baremetal,,8,stagger,20,8,True,14.018,0,0,0.9934,8.239,7.952,1.284,0.0814,0.02,0.9883,6.739,6.569,1.371,0.1086,72.649
babelstream,baremetal,,8,stagger,21,8,True,14.026,0,0,0.9844,8.808,8.035,1.502,0.1257,0.021,0.9882,6.755,6.579,1.374,0.1094,72.822
babelstream,baremetal,,8,stagger,22,8,True,14.008,0,0,0.9916,8.602,8.287,1.326,0.0921,0.021,0.9886,6.741,6.577,1.366,0.1072,72.674
babelstream,baremetal,,8,stagger,23,8,True,14.02,0,0,0.9942,8.315,7.834,1.274,0.0762,0.02,0.9884,6.761,6.597,1.37,0.1081,72.883
babelstream,baremetal,,8,stagger,24,8,True,14.011,0,0,0.9846,9.402,8.074,1.544,0.125,0.022,0.9883,6.741,6.578,1.372,0.1089,72.672
babelstream,baremetal,,8,stagger0p009,30,8,True,0.065,0,0,0.9942,10.045,9.29,1.256,0.0766,0.024,1.0,7.81,7.79,1.017,0.005,84.196
