workload,system,variante,N,mode,corridas,jain_int_mediana,jain_wall_mediana,peor_slowdown_wall_mediana,mediana_slowdown_wall_mediana,ratio_lento_rapido_wall_mediana,start_spread_s_mediana,corridas_trabajo_identico
babelstream,baremetal,,2,sync,5,0.9948,1.0,2.038,2.038,1.0,0.0,5
babelstream,baremetal,,4,sync,5,0.9981,1.0,3.957,3.957,1.005,0.001,5
babelstream,baremetal,,8,stagger,5,0.9916,0.9883,6.741,6.578,1.371,14.018,5
babelstream,baremetal,,8,stagger0p009,3,0.9976,1.0,7.808,7.789,1.014,0.085,3
babelstream,baremetal,,8,stagger0p019,3,0.9987,1.0,7.768,7.757,1.009,0.148,3
babelstream,baremetal,,8,stagger0p037,3,0.9968,0.9999,7.754,7.729,1.033,0.255,3
babelstream,baremetal,,8,stagger0p075,3,0.9965,0.9997,7.708,7.672,1.054,0.529,3
babelstream,baremetal,,8,stagger0p15,3,0.996,0.9997,7.652,7.63,1.052,1.054,3
babelstream,baremetal,,8,stagger0p5,3,0.9947,0.9994,7.466,7.414,1.079,3.508,3
babelstream,baremetal,,8,sync,5,0.9972,1.0,7.814,7.796,1.007,0.001,5
babelstream,baremetal_mps,,2,sync,5,1.0,1.0,1.904,1.903,1.0,0.0,5
babelstream,baremetal_mps,,4,sync,5,0.9999,1.0,3.706,3.697,1.005,0.001,5
babelstream,baremetal_mps,,8,stagger,5,0.9854,0.9884,6.257,6.1,1.372,14.02,5
babelstream,baremetal_mps,,8,sync,5,0.9934,1.0,7.309,7.3,1.008,0.002,5
babelstream,gusto_am,,2,sync,5,1.0,1.0,1.783,1.783,1.0,0.0,5
babelstream,gusto_am,,4,sync,5,0.9973,1.0,3.378,3.345,1.015,0.001,5
babelstream,gusto_am,,8,stagger,5,0.9902,0.9899,5.704,5.568,1.341,14.013,5
babelstream,gusto_am,,8,stagger0p009,3,0.9919,0.9998,6.598,6.516,1.045,0.065,3
babelstream,gusto_am,,8,stagger0p019,3,0.9926,0.9998,6.539,6.511,1.05,0.127,3
babelstream,gusto_am,,8,stagger0p037,3,0.996,1.0,6.544,6.497,1.018,0.275,3
