workload,system,N,lambda_total,label,rep,stable,tenants,req_min,req_max,desbalance_demanda,jain_demanda,jain_completion_fraction,jain_token_service_fraction,jain_slo_1s_fraction,jain_slo_5s_fraction,jain_share_normalizada,completion_fraction_min,completion_fraction_max,slo_5s_min,slo_5s_max,timeout_fraction_min,timeout_fraction_max,null_completion_fraction_p50,null_completion_fraction_p05,p_completion_fraction,null_slo_5s_fraction_p50,null_slo_5s_fraction_p05,p_slo_5s_fraction
llama7b,gusto,2,2.0,mt_ucx_n2_l2,1,UNSTABLE,2,33,34,1.03,0.9998,0.9991,0.9991,inanicion_uniforme,0.989,0.9991,0.9412,1.0,0.1471,0.1818,0.0,0.0588,0.9991,0.999,0.502,0.9372,0.8214,0.7505
llama7b,gusto,2,2.0,mt_ucx_n2_l2,2,UNSTABLE,2,33,34,1.03,0.9998,0.9991,0.9991,inanicion_uniforme,0.989,0.9991,0.9412,1.0,0.1471,0.1818,0.0,0.0588,1.0,0.999,0.4925,0.9372,0.8214,0.7565
llama7b,gusto,2,2.0,mt_ucx_n2_l2,3,UNSTABLE,2,33,34,1.03,0.9998,0.9991,0.9991,inanicion_uniforme,0.989,0.9991,0.9412,1.0,0.1471,0.1818,0.0,0.0588,1.0,0.999,0.493,0.989,0.8214,0.7405
llama7b,nativo,2,2.0,mtbm_n2_l2,1,UNSTABLE,2,34,35,1.029,0.9998,0.9989,0.9989,inanicion_uniforme,0.5,0.9989,0.7714,0.8235,0.0,0.1176,0.1765,0.2286,0.9984,0.9874,0.5715,0.807,0.5,0.117
llama7b,nativo,2,2.0,mtbm_n2_l2,2,UNSTABLE,2,34,35,1.029,0.9998,0.9989,0.9989,inanicion_uniforme,0.5,0.9989,0.7714,0.8235,0.0,0.1176,0.1765,0.2286,0.9984,0.9874,0.5495,0.807,0.5,0.1225
llama7b,nativo,2,2.0,mtbm_n2_l2,3,UNSTABLE,2,34,35,1.029,0.9998,0.9989,0.9989,inanicion_uniforme,0.5,0.9989,0.7714,0.8235,0.0,0.1176,0.1765,0.2286,0.9984,0.9874,0.5555,0.807,0.5,0.114
llama7b,gusto,4,4.0,mt_ucx_n4_l4,1,UNSTABLE,4,38,46,1.211,0.9949,0.9946,0.9946,inanicion_uniforme,0.25,0.9946,0.3478,0.4211,0.0,0.0217,0.5789,0.6522,0.978,0.9336,0.9145,0.25,0.25,1.0
llama7b,gusto,4,4.0,mt_ucx_n4_l4,2,UNSTABLE,4,38,47,1.237,0.9944,0.993,0.993,inanicion_uniforme,0.4945,0.993,0.3617,0.4474,0.0,0.0263,0.5526,0.6383,0.9784,0.9312,0.8485,0.4984,0.25,0.362
llama7b,gusto,4,4.0,mt_ucx_n4_l4,3,UNSTABLE,4,38,47,1.237,0.994,0.988,0.988,inanicion_uniforme,0.25,0.988,0.3617,0.4737,0.0,0.0213,0.5263,0.6383,0.9803,0.9349,0.7165,0.25,0.25,1.0
llama7b,nativo,4,4.0,mtbm_n4_l4,1,UNSTABLE,4,39,47,1.205,0.9954,0.9954,0.9954,inanicion_uniforme,0.471,0.9954,0.2766,0.3333,0.0,0.0426,0.6667,0.7234,0.9685,0.8995,0.9565,0.4631,0.25,0.5745
llama7b,nativo,4,4.0,mtbm_n4_l4,2,UNSTABLE,4,39,47,1.205,0.9954,0.9954,0.9954,inanicion_uniforme,0.471,0.9954,0.2766,0.3333,0.0,0.0426,0.6667,0.7234,0.9675,0.9061,0.96,0.4631,0.25,0.569
llama7b,nativo,4,4.0,mtbm_n4_l4,3,UNSTABLE,4,39,47,1.205,0.9954,0.9954,0.9954,inanicion_uniforme,0.471,0.9954,0.2766,0.3333,0.0,0.0426,0.6667,0.7234,0.969,0.9059,0.9475,0.4631,0.25,0.573
llama7b,gusto,8,8.0,mt_ucx_n8_l8,1,UNSTABLE,8,29,47,1.621,0.9736,0.9568,0.9568,0.125,0.6102,0.9568,0.1702,0.3226,0.0,0.0323,0.6774,0.8298,0.934,0.8636,0.7675,0.4475,0.2783,0.9165
llama7b,gusto,8,8.0,mt_ucx_n8_l8,2,UNSTABLE,8,29,47,1.621,0.9726,0.9679,0.9679,0.125,0.6019,0.9679,0.1702,0.2903,0.0,0.0345,0.7097,0.8298,0.932,0.8549,0.901,0.4493,0.2745,0.802
llama7b,gusto,8,8.0,mt_ucx_n8_l8,3,UNSTABLE,8,29,47,1.621,0.9723,0.9303,0.9303,0.125,0.4851,0.9303,0.1489,0.3448,0.0,0.0333,0.6552,0.8511,0.9325,0.8616,0.4785,0.3544,0.22,0.731
llama7b,nativo,8,8.0,mtbm_n8_l8,1,UNSTABLE,8,29,47,1.621,0.9747,0.9602,0.9602,0.2475,0.3704,0.9602,0.1277,0.2258,0.0,0.0345,0.7742,0.8723,0.8982,0.8007,0.9335,0.3633,0.2048,0.79
llama7b,nativo,8,8.0,mtbm_n8_l8,2,UNSTABLE,8,29,47,1.621,0.9747,0.9602,0.9602,0.2475,0.3704,0.9602,0.1277,0.2258,0.0,0.0345,0.7742,0.8723,0.8994,0.802,0.943,0.3633,0.2076,0.795
llama7b,nativo,8,8.0,mtbm_n8_l8,3,UNSTABLE,8,29,47,1.621,0.9747,0.9602,0.9602,0.2475,0.3704,0.9602,0.1277,0.2258,0.0,0.0345,0.7742,0.8723,0.9008,0.8036,0.928,0.3635,0.2076,0.773
