workload,system,N,lambda_total,label,rep,stable,tenant,requests,completed,timeouts,failed,completion_fraction,offered_output_tokens,completed_output_tokens,delivered_output_tokens,token_service_fraction,slo_1s_fraction,slo_5s_fraction,timeout_fraction,ttft_p50,ttft_p95,ttft_p99,tpot_p50,offered_share,service_share,share_normalizada
llama7b,gusto,2,2.0,mt_ucx_n2_l2,1,UNSTABLE,http://127.0.0.1:8201,34,32,2,2,0.9411764705882353,4352,4096,4096,0.9411764705882353,0.0,0.14705882352941177,0.058823529411764705,13134.955415967852,24813.014762941748,24852.335213217884,11.80726064618413,0.5074626865671642,0.49230769230769234,0.9701357466063348
llama7b,gusto,2,2.0,mt_ucx_n2_l2,1,UNSTABLE,http://127.0.0.1:8202,33,33,0,0,1.0,4224,4224,4224,1.0,0.0,0.18181818181818182,0.0,13997.59460799396,23384.512891061604,24033.82225520909,11.808161832773544,0.4925373134328358,0.5076923076923077,1.0307692307692307
llama7b,gusto,2,2.0,mt_ucx_n2_l2,2,UNSTABLE,http://127.0.0.1:8201,34,32,2,2,0.9411764705882353,4352,4096,4096,0.9411764705882353,0.0,0.14705882352941177,0.058823529411764705,13086.545797996223,24739.31108787656,24783.04845187813,11.797446024230146,0.5074626865671642,0.49230769230769234,0.9701357466063348
llama7b,gusto,2,2.0,mt_ucx_n2_l2,2,UNSTABLE,http://127.0.0.1:8202,33,33,0,0,1.0,4224,4224,4224,1.0,0.0,0.18181818181818182,0.0,13998.553882818669,23353.813563939184,24002.786320168525,11.80238470684473,0.4925373134328358,0.5076923076923077,1.0307692307692307
llama7b,gusto,2,2.0,mt_ucx_n2_l2,3,UNSTABLE,http://127.0.0.1:8201,34,32,2,2,0.9411764705882353,4352,4096,4096,0.9411764705882353,0.0,0.14705882352941177,0.058823529411764705,13059.268524404615,24715.289638377726,24747.876768000424,11.801236125779903,0.5074626865671642,0.49230769230769234,0.9701357466063348
llama7b,gusto,2,2.0,mt_ucx_n2_l2,3,UNSTABLE,http://127.0.0.1:8202,33,33,0,0,1.0,4224,4224,4224,1.0,0.0,0.18181818181818182,0.0,14026.412435807288,23420.630811713636,24069.80235874653,11.808273756480592,0.4925373134328358,0.5076923076923077,1.0307692307692307
llama7b,nativo,2,2.0,mtbm_n2_l2,1,UNSTABLE,http://127.0.0.1:8301,35,27,8,8,0.7714285714285715,4480,3456,3456,0.7714285714285715,0.0,0.0,0.22857142857142856,15142.028840258718,24668.516657780856,24732.426410075277,15.559548409435692,0.5072463768115942,0.4909090909090909,0.9677922077922078
llama7b,nativo,2,2.0,mtbm_n2_l2,1,UNSTABLE,http://127.0.0.1:8302,34,28,6,6,0.8235294117647058,4352,3584,3584,0.8235294117647058,0.0,0.11764705882352941,0.17647058823529413,18326.605887152255,24485.049871727824,24606.73153726384,15.559076690885025,0.4927536231884058,0.509090909090909,1.0331550802139036
llama7b,nativo,2,2.0,mtbm_n2_l2,2,UNSTABLE,http://127.0.0.1:8301,35,27,8,8,0.7714285714285715,4480,3456,3456,0.7714285714285715,0.0,0.0,0.22857142857142856,15339.104253798723,24938.13618319109,24969.076893292367,15.583577840845651,0.5072463768115942,0.4909090909090909,0.9677922077922078
llama7b,nativo,2,2.0,mtbm_n2_l2,2,UNSTABLE,http://127.0.0.1:8302,34,28,6,6,0.8235294117647058,4352,3584,3584,0.8235294117647058,0.0,0.11764705882352941,0.17647058823529413,18250.097260344774,24433.958399109542,24559.86793199554,15.538495983635112,0.4927536231884058,0.509090909090909,1.0331550802139036
