system,run,tenant_id,offered_work,completed_iterations,t_start_epoch_s,first_progress_s,slowdown,normalized_progress,mult_min,mult_p50,mult_max,iters_sin_espera,longest_no_progress_s,correctness,multiplicadores
baremetal,run_baremetal_n8_r1,1,poses=65536;prot=938;lig=26,10,1785142908,1.474,7.831,0.1277,4.99,7.95,7.96,0,2.055,valid=true;max_diff_%=0.014,5.0 7.9 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r1,2,poses=65536;prot=938;lig=26,10,1785142908,0.584,7.953,0.1257,1.98,7.95,7.96,0,2.054,valid=true;max_diff_%=0.014,2.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r1,3,poses=65536;prot=938;lig=26,10,1785142908,0.297,7.951,0.1258,1.01,7.95,7.95,1,2.053,valid=true;max_diff_%=0.014,1.0 2.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r1,4,poses=65536;prot=938;lig=26,10,1785142908,1.767,7.831,0.1277,5.98,7.95,7.96,0,2.054,valid=true;max_diff_%=0.014,6.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r1,5,poses=65536;prot=938;lig=26,10,1785142908,2.059,7.831,0.1277,6.97,7.95,7.96,0,2.054,valid=true;max_diff_%=0.014,7.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r1,6,poses=65536;prot=938;lig=26,10,1785142908,1.179,7.83,0.1277,3.99,7.95,7.96,0,2.054,valid=true;max_diff_%=0.014,4.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r1,7,poses=65536;prot=938;lig=26,10,1785142908,0.887,7.829,0.1277,3.0,7.95,7.96,0,2.055,valid=true;max_diff_%=0.014,3.0 7.9 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r1,8,poses=65536;prot=938;lig=26,10,1785142908,0.594,7.829,0.1277,2.01,7.95,7.96,0,2.054,valid=true;max_diff_%=0.014,2.0 7.9 8.0 8.0 8.0 8.0 8.0 8.0 8.0 7.0
baremetal,run_baremetal_n8_r2,1,poses=65536;prot=938;lig=26,10,1785142932,1.77,7.707,0.1297,5.99,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,6.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0
baremetal,run_baremetal_n8_r2,2,poses=65536;prot=938;lig=26,10,1785142932,0.878,7.952,0.1257,2.97,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,3.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r2,3,poses=65536;prot=938;lig=26,10,1785142932,0.297,7.951,0.1258,1.01,7.95,7.95,1,2.053,valid=true;max_diff_%=0.014,1.0 5.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r2,4,poses=65536;prot=938;lig=26,10,1785142932,1.184,7.955,0.1257,4.01,7.95,7.97,0,2.059,valid=true;max_diff_%=0.014,4.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r2,5,poses=65536;prot=938;lig=26,10,1785142932,0.588,7.952,0.1258,1.99,7.95,7.96,0,2.055,valid=true;max_diff_%=0.014,2.0 5.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r2,6,poses=65536;prot=938;lig=26,10,1785142932,2.063,7.707,0.1297,5.98,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,7.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0
baremetal,run_baremetal_n8_r2,7,poses=65536;prot=938;lig=26,10,1785142932,0.892,7.953,0.1257,3.02,7.95,7.97,0,2.057,valid=true;max_diff_%=0.014,3.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0
baremetal,run_baremetal_n8_r2,8,poses=65536;prot=938;lig=26,10,1785142932,1.477,7.706,0.1298,5.0,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,5.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0
baremetal,run_baremetal_n8_r3,1,poses=65536;prot=938;lig=26,10,1785142956,1.77,7.707,0.1297,5.99,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,6.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0
baremetal,run_baremetal_n8_r3,2,poses=65536;prot=938;lig=26,10,1785142956,2.063,7.707,0.1297,5.98,7.95,7.96,0,2.056,valid=true;max_diff_%=0.014,7.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0
