workload,system,cohort_path,run_id,seed,mode,N,tenant_id,t_start,t_end,concurrent_runtime,internal_runtime,figure_of_merit,fom_name,fixed_work_units,cpu_s,max_rss_kib,exit_status,correctness_status,sospechoso,derivacion
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,02,sync,4,3,1785286194.9515302,1785286246.935966,51.984436,25.224,23787278.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,02,sync,4,2,1785286194.9514487,1785286247.1384492,52.187001,12.401,48382618.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,02,sync,4,0,1785286194.9506729,1785286247.0218937,52.071221,24.879,24117059.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,02,sync,4,1,1785286194.9513657,1785286246.935561,51.984195,37.427,16031124.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,01,sync,4,3,1785286113.6318417,1785286165.5307496,51.898908,37.027,16204517.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,01,sync,4,2,1785286113.632489,1785286166.0053027,52.372814,12.489,48041354.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,01,sync,4,0,1785286113.6316016,1785286165.5834837,51.951882,37.13,16159415.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,01,sync,4,1,1785286113.6324842,1785286165.8548963,52.222412,24.775,24218351.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,03,sync,4,3,1785286276.057134,1785286328.0812056,52.024072,24.833,24161471.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,03,sync,4,2,1785286276.056906,1785286328.1831214,52.126215,24.84,24154915.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,03,sync,4,0,1785286276.0559945,1785286328.4436154,52.387621,12.518,47932564.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,03,sync,4,1,1785286276.057108,1785286327.972214,51.915106,37.143,16153628.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,04,sync,4,3,1785286357.477029,1785286409.526401,52.049372,37.044,16196991.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,04,sync,4,2,1785286357.4774303,1785286409.312287,51.834857,24.771,24222110.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,04,sync,4,0,1785286357.4776595,1785286409.7348194,52.25716,12.637,47481119.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,04,sync,4,1,1785286357.4775162,1785286409.2592897,51.781774,37.046,16195954.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,00,sync,4,3,1785286032.6496696,1785286084.1871765,51.537507,24.73,24262499.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,00,sync,4,2,1785286032.6494818,1785286084.137074,51.487592,49.11,12217477.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
