label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
slo_ucx_n8_l2.0_r0,open,8,1,2.00,30,128,65,63,2,2,277.3,2.17,6.54,7.77,7044,22302,24205,28.5,42.9,48.7,26,77,119,9,28,43,4,29,32,0.962,UNSTABLE
slo_bm_n8_l0.5_r1,open,8,1,0.50,30,128,14,14,0,0,59.7,0.47,0.44,0.03,23,890,890,7.0,15.4,15.6,60,60,60,100,100,100,0,1,2,0.721,STABLE
slo_bm_n8_l1.5_r1,open,8,1,1.50,30,128,53,48,1,1,226.1,1.77,6.23,7.42,5629,23132,24891,49.3,65.5,65.8,51,51,111,23,23,49,6,25,26,0.880,UNSTABLE
slo_bm_n8_l1.0_r1,open,8,1,1.00,30,128,30,29,0,0,128.0,1.00,2.13,0.28,43,3650,5848,23.8,48.7,49.2,115,119,124,90,93,97,0,7,8,0.804,STABLE
slo_bm_n8_l0.25_r1,open,8,1,0.25,30,128,8,8,0,0,34.1,0.27,0.26,0.00,23,36,36,7.0,15.6,15.7,34,34,34,100,100,100,0,1,2,0.500,STABLE
slo_bm_n8_l2.0_r1,open,8,1,2.00,30,128,53,63,17,17,226.1,1.77,7.12,20.92,11349,24423,25030,57.3,65.7,68.5,34,43,68,15,19,30,11,46,46,0.952,UNSTABLE
slo_bm_n8_l0.75_r1,open,8,1,0.75,30,128,20,19,0,0,85.3,0.67,0.75,0.03,23,903,903,7.0,24.3,24.6,85,85,85,100,100,100,0,1,3,0.758,STABLE
slo_ucx_n8_l0.5_r1,open,8,1,0.50,30,128,14,14,0,0,59.7,0.47,0.40,0.03,31,938,938,7.2,8.1,12.8,60,60,60,100,100,100,0,1,2,0.721,STABLE
slo_ucx_n8_l1.5_r1,open,8,1,1.50,30,128,50,48,0,0,213.3,1.67,3.32,1.09,918,8400,10520,18.7,30.7,33.7,115,132,175,54,62,82,2,13,13,0.883,STABLE
slo_ucx_n8_l1.0_r1,open,8,1,1.00,30,128,30,29,0,0,128.0,1.00,1.32,0.06,187,887,960,11.5,18.7,19.1,128,128,128,100,100,100,0,2,4,0.804,STABLE
slo_ucx_n8_l0.25_r1,open,8,1,0.25,30,128,8,8,0,0,34.1,0.27,0.23,0.00,31,194,194,7.2,12.8,12.8,34,34,34,100,100,100,0,1,2,0.500,STABLE
slo_ucx_n8_l2.0_r1,open,8,1,2.00,30,128,68,63,2,2,290.1,2.27,6.07,9.79,7469,23187,24987,24.8,36.9,44.0,26,43,107,9,15,37,7,33,33,0.903,UNSTABLE
slo_ucx_n8_l0.75_r1,open,8,1,0.75,30,128,20,19,0,0,85.3,0.67,0.62,0.03,32,950,950,7.2,12.8,13.0,85,85,85,100,100,100,0,1,3,0.758,STABLE
slo_bm_n4_l0.5_r1,open,4,1,0.50,30,128,14,14,0,0,59.7,0.47,0.45,0.03,23,889,889,7.0,15.5,15.7,60,60,60,100,100,100,0,1,2,0.980,STABLE
slo_bm_n4_l1.5_r1,open,4,1,1.50,30,128,52,48,0,0,221.9,1.73,3.86,8.63,9090,20790,22141,32.4,32.8,36.7,17,38,81,8,17,37,4,23,24,0.985,UNSTABLE
slo_bm_n4_l1.0_r1,open,4,1,1.00,30,128,30,29,0,0,128.0,1.00,1.63,0.41,48,2814,3090,15.6,32.7,33.0,94,115,128,73,90,100,0,6,6,0.953,STABLE
slo_bm_n4_l0.25_r1,open,4,1,0.25,30,128,8,8,0,0,34.1,0.27,0.28,0.00,24,36,36,7.0,15.7,15.7,34,34,34,100,100,100,0,1,2,0.727,STABLE
slo_bm_n4_l2.0_r1,open,4,1,2.00,30,128,53,63,17,17,226.1,1.77,4.00,22.52,14213,24683,24990,32.5,32.9,36.9,9,9,38,4,4,17,9,44,44,0.999,UNSTABLE
slo_bm_n4_l0.75_r1,open,4,1,0.75,30,128,20,19,0,0,85.3,0.67,0.73,0.08,23,1530,1530,7.0,15.7,15.7,81,85,85,95,100,100,0,1,3,0.943,STABLE
slo_ucx_n4_l0.5_r1,open,4,1,0.50,30,128,14,14,0,0,59.7,0.47,0.41,0.03,31,936,936,7.2,8.1,12.8,60,60,60,100,100,100,0,1,2,0.980,STABLE
slo_ucx_n4_l1.5_r1,open,4,1,1.50,30,128,50,48,0,0,213.3,1.67,2.78,1.76,1808,7999,9379,12.8,18.9,24.7,68,111,149,32,52,70,2,13,13,0.992,STABLE
slo_ucx_n4_l1.0_r1,open,4,1,1.00,30,128,30,29,0,0,128.0,1.00,1.25,0.10,185,1449,1541,7.3,13.0,19.0,119,128,128,93,100,100,0,2,4,0.953,STABLE
slo_ucx_n4_l0.25_r1,open,4,1,0.25,30,128,8,8,0,0,34.1,0.27,0.22,0.00,32,190,190,7.2,12.8,12.8,34,34,34,100,100,100,0,1,2,0.727,STABLE
slo_ucx_n4_l2.0_r1,open,4,1,2.00,30,128,67,63,3,3,285.9,2.23,4.00,17.63,11073,23297,24889,18.7,24.9,26.6,13,26,64,4,9,22,7,33,33,0.998,UNSTABLE
slo_ucx_n4_l0.75_r1,open,4,1,0.75,30,128,20,19,0,0,85.3,0.67,0.63,0.08,31,1349,1349,7.2,12.8,12.9,81,85,85,95,100,100,0,1,3,0.943,STABLE
slo_bm_n2_l0.5_r1,open,2,1,0.50,30,128,14,14,0,0,59.7,0.47,0.41,0.03,23,890,890,7.0,15.5,15.7,60,60,60,100,100,100,0,1,2,1.000,STABLE
slo_bm_n2_l1.5_r1,open,2,1,1.50,30,128,52,48,0,0,221.9,1.73,2.00,8.76,9087,18257,19190,15.6,15.7,20.4,4,26,81,2,12,37,3,21,21,0.999,UNSTABLE
slo_bm_n2_l1.0_r1,open,2,1,1.00,30,128,30,29,0,0,128.0,1.00,1.25,0.62,278,2644,3185,15.4,15.7,16.2,85,102,128,67,80,100,0,4,5,0.996,STABLE
slo_bm_n2_l0.25_r1,open,2,1,0.25,30,128,8,8,0,0,34.1,0.27,0.20,0.01,23,540,540,7.0,7.0,7.9,34,34,34,100,100,100,0,1,2,0.800,STABLE
slo_bm_n2_l2.0_r1,open,2,1,2.00,30,128,55,63,15,15,234.7,1.83,2.00,22.50,15839,24598,24890,15.6,15.7,20.4,0,4,17,0,2,7,8,42,42,1.000,UNSTABLE
