label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
v2_bm_n8_l0.75_r1,open,8,1,0.75,53,128,39,38,0,0,94.2,0.74,1.00,0.02,25,51,904,7.0,24.0,24.4,94,94,94,100,100,100,0,2,4,0.860,STABLE
v2_bm_n8_l0.5_r1,open,8,1,0.50,80,128,38,38,0,0,60.8,0.47,0.54,0.01,24,44,890,7.0,15.6,24.4,61,61,61,100,100,100,0,1,3,0.813,STABLE
v2_bm_n8_l1.0_r1,open,8,1,1.00,40,128,40,39,0,0,128.0,1.00,2.76,0.46,51,3405,6040,24.5,48.7,49.1,106,112,125,82,88,98,0,4,8,0.833,STABLE
v2_bm_n8_l1.5_r1,open,8,1,1.50,30,128,53,48,1,1,226.1,1.77,6.24,7.49,5681,23144,24915,49.3,65.5,65.8,51,51,111,23,23,49,6,25,26,0.880,UNSTABLE
v2_bm_n8_l0.75_r1,open,8,1,0.75,53,128,39,38,0,0,94.2,0.74,1.01,0.02,27,51,904,7.0,24.3,26.4,94,94,94,100,100,100,0,2,4,0.860,STABLE
v2_bm_n8_l0.5_r1,open,8,1,0.50,80,128,38,38,0,0,60.8,0.47,0.50,0.01,23,42,889,7.0,15.6,23.9,61,61,61,100,100,100,0,1,3,0.813,STABLE
v2_bm_n8_l1.0_r1,open,8,1,1.00,40,128,40,39,0,0,128.0,1.00,2.69,0.43,49,3322,5959,24.5,49.0,49.3,106,112,125,82,88,98,0,4,8,0.833,STABLE
v2_bm_n8_l1.5_r1,open,8,1,1.50,30,128,53,48,1,1,226.1,1.77,6.25,7.36,5594,23080,24833,49.3,65.1,65.5,51,51,111,23,23,49,6,25,26,0.880,UNSTABLE
v2_bmmps_n8_l0.75_r1,open,8,1,0.75,53,128,39,38,0,0,94.2,0.74,0.81,0.02,23,48,918,7.1,18.7,18.8,94,94,94,100,100,100,0,2,3,0.860,STABLE
v2_bmmps_n8_l0.5_r1,open,8,1,0.50,80,128,38,38,0,0,60.8,0.47,0.47,0.01,23,48,905,7.1,12.8,18.7,61,61,61,100,100,100,0,1,3,0.813,STABLE
v2_bmmps_n8_l1.0_r1,open,8,1,1.00,40,128,40,39,0,0,128.0,1.00,1.56,0.04,39,601,926,12.8,24.7,30.1,128,128,128,100,100,100,0,1,5,0.833,STABLE
v2_bmmps_n8_l1.5_r1,open,8,1,1.50,30,128,50,48,0,0,213.3,1.67,4.17,2.16,128,9164,9342,30.5,36.8,37.5,124,132,183,58,62,86,2,14,14,0.883,STABLE
v2_ucx_n8_l0.75_r1,open,8,1,0.75,53,128,39,38,0,0,94.2,0.74,0.77,0.02,32,437,958,7.2,12.8,18.7,94,94,94,100,100,100,0,2,3,0.860,STABLE
v2_ucx_n8_l0.5_r1,open,8,1,0.50,80,128,38,38,0,0,60.8,0.47,0.50,0.01,31,603,940,7.2,12.8,12.9,61,61,61,100,100,100,0,1,3,0.813,STABLE
v2_ucx_n8_l1.0_r1,open,8,1,1.00,40,128,40,39,0,0,128.0,1.00,1.37,0.03,186,761,960,12.7,18.7,19.0,128,128,128,100,100,100,0,1,4,0.833,STABLE
v2_ucx_n8_l1.5_r1,open,8,1,1.50,30,128,50,48,0,0,213.3,1.67,3.37,1.27,958,8609,11132,18.7,28.4,34.2,111,132,179,52,62,84,2,13,13,0.883,STABLE
v2_bm_n4_l0.75_r1,open,4,1,0.75,53,128,39,38,0,0,94.2,0.74,0.92,0.05,28,906,1536,7.0,24.2,24.5,92,94,94,97,100,100,0,2,4,0.998,STABLE
v2_bm_n4_l0.5_r1,open,4,1,0.50,80,128,38,38,0,0,60.8,0.47,0.49,0.03,23,889,1279,7.0,15.6,15.7,59,61,61,97,100,100,0,1,3,0.976,STABLE
v2_bm_n4_l1.0_r1,open,4,1,1.00,40,128,40,39,0,0,128.0,1.00,2.03,0.67,88,3305,3410,20.8,32.6,32.9,86,102,128,68,80,100,0,4,7,0.995,STABLE
v2_bm_n4_l1.5_r1,open,4,1,1.50,30,128,52,48,0,0,221.9,1.73,3.86,8.53,9226,20822,22128,32.4,32.8,36.7,17,34,81,8,15,37,4,23,24,0.985,UNSTABLE
v2_bmmps_n4_l0.75_r1,open,4,1,0.75,53,128,39,38,0,0,94.2,0.74,0.78,0.04,24,920,1293,7.1,12.9,18.7,92,94,94,97,100,100,0,2,3,0.998,STABLE
v2_bmmps_n4_l0.5_r1,open,4,1,0.50,80,128,38,38,0,0,60.8,0.47,0.46,0.03,23,904,1098,7.1,12.8,12.9,59,61,61,97,100,100,0,1,3,0.976,STABLE
v2_bmmps_n4_l1.0_r1,open,4,1,1.00,40,128,40,39,0,0,128.0,1.00,1.46,0.09,39,927,1391,12.8,24.4,24.8,125,128,128,98,100,100,0,1,5,0.995,STABLE
v2_bmmps_n4_l1.5_r1,open,4,1,1.50,30,128,50,48,0,0,213.3,1.67,3.18,2.93,2277,7357,8572,18.8,24.8,25.3,68,107,158,32,50,74,2,12,13,0.992,STABLE
v2_ucx_n4_l0.75_r1,open,4,1,0.75,53,128,39,38,0,0,94.2,0.74,0.78,0.05,32,951,1348,7.2,12.8,18.7,92,94,94,97,100,100,0,2,3,0.998,STABLE
v2_ucx_n4_l0.5_r1,open,4,1,0.50,80,128,38,38,0,0,60.8,0.47,0.46,0.02,31,936,1156,7.2,12.8,12.8,59,61,61,97,100,100,0,1,3,0.976,STABLE
v2_ucx_n4_l1.0_r1,open,4,1,1.00,40,128,40,39,0,0,128.0,1.00,1.36,0.12,185,1407,1447,7.4,18.5,19.0,122,128,128,95,100,100,0,1,4,0.995,STABLE
v2_ucx_n4_l1.5_r1,open,4,1,1.50,30,128,50,48,0,0,213.3,1.67,2.80,1.91,1946,7975,9451,12.8,18.9,24.9,73,111,141,34,52,66,2,13,13,0.992,STABLE
v2_bm_n2_l0.75_r1,open,2,1,0.75,53,128,39,38,0,0,94.2,0.74,0.82,0.12,24,1149,1529,7.0,15.7,15.7,89,94,94,95,100,100,0,2,3,0.999,STABLE
v2_bm_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.45,0.03,23,890,1275,7.0,15.6,15.7,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_bm_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.42,0.85,349,3152,3408,15.5,15.7,16.3,77,99,128,60,78,100,0,2,5,0.998,STABLE
v2_bm_n2_l1.5_r1,open,2,1,1.50,30,128,52,48,0,0,221.9,1.73,2.00,8.69,9076,17990,19044,15.6,15.7,18.3,4,26,81,2,12,37,3,21,21,0.999,UNSTABLE
v2_bmmps_n2_l0.75_r1,open,2,1,0.75,53,128,39,38,0,0,94.2,0.74,0.75,0.07,23,920,1293,7.1,12.9,13.0,92,94,94,97,100,100,0,2,3,0.999,STABLE
v2_bmmps_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.46,0.02,23,904,1096,7.1,12.8,12.9,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_bmmps_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.16,0.33,39,1391,1520,7.1,12.9,13.1,109,128,128,85,100,100,0,1,4,0.998,STABLE
v2_bmmps_n2_l1.5_r1,open,2,1,1.50,30,128,50,48,0,0,213.3,1.67,1.89,4.54,4085,9529,9860,12.8,13.0,13.9,47,64,119,22,30,56,2,13,14,1.000,STABLE
v2_ucx_n2_l0.75_r1,open,2,1,0.75,53,128,39,38,0,0,94.2,0.74,0.76,0.07,32,983,1349,7.2,12.8,12.9,92,94,94,97,100,100,0,2,3,0.999,STABLE
v2_ucx_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.45,0.02,31,938,1158,7.2,12.8,12.8,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_ucx_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.19,0.37,188,1683,1776,7.2,12.8,13.7,102,128,128,80,100,100,0,1,4,0.998,STABLE
v2_ucx_n2_l1.5_r1,open,2,1,1.50,30,128,50,48,0,0,213.3,1.67,1.90,4.89,4471,10428,10781,12.8,12.9,14.0,30,51,111,14,24,52,2,14,14,1.000,STABLE
v2_bm_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.87,0.16,34,1772,1934,7.0,24.2,24.6,67,80,80,84,100,100,0,2,4,0.546,STABLE
v2_bm_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.50,0.02,24,360,1192,7.0,15.7,24.3,53,56,56,96,100,100,0,1,3,0.575,STABLE
v2_bm_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.28,0.01,24,40,609,7.0,15.6,15.7,37,37,37,100,100,100,0,1,3,0.682,STABLE
v2_bm_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.92,0.96,44,7277,10762,15.6,40.9,41.1,107,111,128,76,79,91,0,8,8,0.664,STABLE
v2_bmmps_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.77,0.05,39,569,1397,7.1,18.7,18.8,77,80,80,96,100,100,0,2,4,0.546,STABLE
v2_bmmps_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.47,0.02,23,115,879,7.1,12.9,18.7,56,56,56,100,100,100,0,1,3,0.575,STABLE
v2_bmmps_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.28,0.01,23,39,475,7.1,12.8,12.9,37,37,37,100,100,100,0,1,2,0.682,STABLE
v2_bmmps_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.54,0.49,47,2395,3445,12.8,24.8,30.7,115,119,141,82,85,100,0,5,5,0.664,STABLE
v2_ucx_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.72,0.06,187,600,1534,7.2,12.8,13.7,77,80,80,96,100,100,0,2,4,0.546,STABLE
v2_ucx_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.48,0.02,32,348,937,7.2,12.8,12.9,56,56,56,100,100,100,0,1,3,0.575,STABLE
v2_ucx_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.25,0.01,32,197,544,7.2,12.8,12.8,37,37,37,100,100,100,0,1,2,0.682,STABLE
v2_ucx_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.45,0.52,373,2474,3744,12.7,18.7,19.1,111,119,141,79,85,100,0,4,5,0.664,STABLE
v2_bm_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.76,0.21,36,1466,1920,7.0,15.7,24.1,67,80,80,84,100,100,0,2,4,0.755,STABLE
v2_bm_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.42,0.05,24,972,1068,7.0,15.7,15.7,53,56,56,96,100,100,0,1,3,0.792,STABLE
v2_bm_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.24,0.02,23,535,584,7.0,7.1,15.7,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_bm_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.54,1.14,43,6694,8292,15.6,24.4,32.5,94,107,124,67,76,88,0,7,7,0.813,STABLE
v2_bmmps_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.66,0.13,39,1148,1793,7.1,12.9,18.7,74,80,80,92,100,100,0,2,3,0.755,STABLE
v2_bmmps_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.40,0.05,24,968,1021,7.1,12.8,13.0,53,56,56,96,100,100,0,1,3,0.792,STABLE
v2_bmmps_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.26,0.02,24,564,612,7.1,7.3,12.8,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_bmmps_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.40,0.73,47,3151,3782,12.8,18.8,18.9,102,111,141,73,79,100,0,5,5,0.813,STABLE
v2_ucx_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.66,0.15,188,1210,1939,7.2,12.8,13.0,74,80,80,92,100,100,0,2,3,0.755,STABLE
v2_ucx_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.40,0.05,32,1033,1068,7.2,12.8,12.9,51,56,56,91,100,100,0,1,3,0.792,STABLE
v2_ucx_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.27,0.02,31,621,674,7.2,7.3,12.7,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_ucx_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.29,0.73,282,3369,4045,12.7,18.7,18.9,98,111,141,70,79,100,0,5,5,0.813,STABLE
v2_bm_n2_l1.0_r2,open,2,1,1.00,40,128,25,25,0,0,80.0,0.62,0.64,0.21,35,1353,1930,7.0,15.7,15.7,67,80,80,84,100,100,0,2,4,0.838,STABLE
