system,N,lambda,n_requests,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms
bm,2,0.5,101,23,843,1275,1452
bmmps,2,0.5,100,23,807,1096,1136
ucx,2,0.5,100,31,875,1158,1188
bm,2,0.75,102,31,2319,4269,4568
bmmps,2,0.75,101,24,1319,2693,2736
ucx,2,0.75,101,74,1366,2979,2990
bm,2,1.0,108,736,5103,7125,8732
bmmps,2,1.0,106,108,2221,4303,5839
ucx,2,1.0,106,190,2474,4684,6255
bm,2,1.5,136,6608,17949,18902,19044
bmmps,2,1.5,132,3685,9106,9721,9860
ucx,2,1.5,133,3986,10113,10703,10781
bm,4,0.5,101,23,837,1279,1462
bmmps,4,0.5,100,23,812,1098,1138
ucx,4,0.5,100,31,868,1156,1190
bm,4,0.75,102,28,1946,4293,5498
bmmps,4,0.75,101,25,1244,2235,2580
ucx,4,0.75,101,48,1344,2301,2816
bm,4,1.0,109,51,5295,9905,11099
bmmps,4,1.0,106,39,1900,4344,5935
ucx,4,1.0,106,191,2281,4809,6170
bm,4,1.5,135,5703,21400,23241,23417
bmmps,4,1.5,132,1571,9069,14322,15049
ucx,4,1.5,132,1760,10131,15086,15413
bm,8,0.5,139,24,46,890,891
bmmps,8,0.5,100,23,59,687,905
ucx,8,0.5,100,31,457,940,952
bm,8,0.75,141,28,1192,3777,4192
bmmps,8,0.75,101,24,724,1019,2049
ucx,8,0.75,101,48,905,1562,2289
bm,8,1.0,150,51,4651,8366,8907
bmmps,8,1.0,107,39,1628,3453,3604
ucx,8,1.0,107,196,1856,3491,4304
bm,8,1.5,190,4568,21639,23735,24915
bmmps,8,1.5,133,97,9166,10014,12761
ucx,8,1.5,133,1181,9446,11629,12228
