arbitraje,rep,wall_s,gflops_mean,gflops_min,gflops_max,desigualdad
fcfs,1,24.78,81.90,50.96,216.42,4.247
fcfs,2,24.84,73.50,38.21,216.43,5.664
fcfs,3,24.75,86.20,37.67,216.44,5.746
fcfs,4,24.72,86.65,38.51,216.46,5.621
fcfs,5,24.85,84.10,42.78,216.45,5.060
fcfs,6,24.72,84.65,37.67,216.42,5.745
fcfs,7,24.86,75.39,39.39,216.45,5.495
fcfs,8,24.87,67.93,37.68,216.42,5.744
fcfs,9,24.85,77.21,41.26,216.45,5.246
fcfs,10,25.02,76.46,41.26,216.41,5.245
fcfs,11,24.94,92.67,44.43,216.42,4.871
fcfs,12,25.14,101.73,49.52,216.49,4.372
fcfs,13,25.02,82.35,42.27,216.45,5.121
fcfs,14,24.95,85.59,34.66,216.50,6.246
fcfs,15,25.01,92.96,40.30,216.47,5.371
fcfs,16,24.96,86.26,50.97,216.47,4.247
fcfs,17,24.94,87.67,46.84,216.44,4.621
fcfs,18,24.92,78.86,39.39,216.42,5.494
fcfs,19,24.72,115.99,52.51,216.52,4.123
fcfs,20,24.71,117.36,64.16,216.48,3.374
fcfs,21,24.72,110.02,42.27,216.50,5.122
fcfs,22,24.82,79.20,50.97,216.45,4.247
fcfs,23,25.09,76.45,43.32,216.43,4.996
fcfs,24,25.03,92.14,43.32,216.51,4.998
fcfs,25,24.97,85.34,49.51,216.46,4.372
deficit_rr_lead1,26,25.06,54.24,29.61,114.37,3.863
deficit_rr_lead1,27,24.92,46.51,31.50,69.31,2.200
deficit_rr_lead1,28,25.28,29.94,24.88,41.26,1.658
deficit_rr_lead1,29,25.10,36.01,25.62,66.65,2.601
deficit_rr_lead1,30,24.96,27.28,24.53,32.09,1.308
deficit_rr_lead1,31,24.86,56.04,39.36,82.51,2.096
deficit_rr_lead1,32,25.02,40.09,26.66,115.50,4.332
deficit_rr_lead1,33,25.19,50.33,27.94,186.42,6.672
